"","","","bonf_res"
"1",0.004,0.004,1
"2",0.014,0.014,1
"3",0.003,0.003,1
"4",0.001,0.001,1
"5",0.002,0.002,1
"6",0.007,0.007,1
"7",0.001,0.001,1
"8",0.005,0.005,1
"9",0.001,0.001,1
"10",0.012,0.012,1
"11",0.005,0.005,1
"12",0.006,0.006,1
"13",0.001,0.001,1
"14",0.01,0.01,1
"15",0,0,1
"16",0.007,0.007,1
"17",0.208,0.208,0
"18",0.014,0.014,1
"19",0.007,0.007,1
"20",0.029,0.029,0
"21",0.009,0.009,1
"22",0.005,0.005,1
"23",0.004,0.004,1
"24",0,0,1
"25",0.003,0.003,1
"26",0.001,0.001,1
"27",0.005,0.005,1
"28",0.046,0.046,0
"29",0.002,0.002,1
"30",0.002,0.002,1
"31",0.01,0.01,1
"32",0,0,1
"33",0.001,0.001,1
"34",0.005,0.005,1
"35",0,0,1
"36",0.001,0.001,1
"37",0.01,0.01,1
"38",0.004,0.004,1
"39",0.005,0.005,1
"40",0.011,0.011,1
"41",0.003,0.003,1
"42",0.001,0.001,1
"43",0.009,0.009,1
"44",0.001,0.001,1
"45",0,0,1
"46",0.004,0.004,1
"47",0.002,0.002,1
"48",0.005,0.005,1
"49",0.001,0.001,1
"50",0.001,0.001,1
"51",0.007,0.007,1
"52",0.003,0.003,1
"53",0.005,0.005,1
"54",0.003,0.003,1
"55",0.002,0.002,1
"56",0,0,1
"57",0.004,0.004,1
"58",0.003,0.003,1
"59",0.003,0.003,1
"60",0.006,0.006,1
"61",0.102,0.102,0
"62",0.002,0.002,1
"63",0,0,1
"64",0.208,0.208,0
"65",0.009,0.009,1
"66",0.002,0.002,1
"67",0,0,1
"68",0,0,1
"69",0.003,0.003,1
"70",0.02,0.02,1
"71",0.003,0.003,1
"72",0.016,0.016,1
"73",0.001,0.001,1
"74",0.001,0.001,1
"75",0.005,0.005,1
"76",0.12,0.12,0
"77",0.001,0.001,1
"78",0.692,0.692,0
"79",0.002,0.002,1
"80",0.004,0.004,1
"81",0.016,0.016,0
"82",0.038,0.038,0
"83",0.014,0.014,1
"84",0.002,0.002,1
"85",0.002,0.002,1
"86",0.003,0.003,1
"87",0.002,0.002,1
"88",0.001,0.001,1
"89",0.002,0.002,1
"90",0.002,0.002,1
"91",0.002,0.002,1
"92",0.002,0.002,1
"93",0.059,0.059,0
"94",0.003,0.003,1
"95",0.068,0.068,0
"96",0,0,1
"97",0.005,0.005,1
"98",0.012,0.012,1
"99",0.001,0.001,1
"100",0,0,1
"101",0.002,0.002,1
"102",0.001,0.001,1
"103",0.006,0.006,1
"104",0,0,1
"105",0.017,0.017,1
"106",0.003,0.003,1
"107",0.001,0.001,1
"108",0.003,0.003,1
"109",0.023,0.023,1
"110",0.001,0.001,1
"111",0.006,0.006,1
"112",0.003,0.003,1
"113",0.014,0.014,1
"114",0.119,0.119,0
"115",0.017,0.017,1
"116",0.003,0.003,1
"117",0.024,0.024,1
"118",0.003,0.003,1
"119",0.033,0.033,0
"120",0.002,0.002,1
"121",0.008,0.008,1
"122",0.004,0.004,1
"123",0.004,0.004,1
"124",0.003,0.003,1
"125",0.002,0.002,1
"126",0.011,0.011,1
"127",0.002,0.002,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",0.003,0.003,1
"133",0.01,0.01,1
"134",0.006,0.006,1
"135",0.001,0.001,1
"136",0.003,0.003,1
"137",0.001,0.001,1
"138",0,0,1
"139",0.008,0.008,1
"140",0.001,0.001,1
"141",0.001,0.001,1
"142",0.004,0.004,1
"143",0.006,0.006,1
"144",0.009,0.009,1
"145",0.012,0.012,1
"146",0.054,0.054,0
"147",0.002,0.002,1
"148",0.008,0.008,1
"149",0.003,0.003,1
"150",0.007,0.007,1
"151",0.004,0.004,1
"152",0.004,0.004,1
"153",0.001,0.001,1
"154",0.007,0.007,1
"155",0.006,0.006,1
"156",0.002,0.002,1
"157",0.001,0.001,1
"158",0,0,1
"159",0.008,0.008,1
"160",0.059,0.059,0
"161",0,0,1
"162",0.048,0.048,0
"163",0.005,0.005,1
"164",0,0,1
"165",0.012,0.012,1
"166",0,0,1
"167",0.003,0.003,1
"168",0.004,0.004,1
"169",0.024,0.024,0
"170",0.166,0.166,0
"171",0.006,0.006,1
"172",0.003,0.003,1
"173",0.064,0.064,0
"174",0.004,0.004,1
"175",0.058,0.058,0
"176",0.097,0.097,0
"177",0.018,0.018,1
"178",0.003,0.003,1
"179",0,0,1
"180",0.094,0.094,0
"181",0.029,0.029,1
"182",0.002,0.002,1
"183",0.004,0.004,1
"184",0.036,0.036,0
"185",0.02,0.02,1
"186",0.011,0.011,1
"187",0.007,0.007,1
"188",0.003,0.003,1
"189",0.01,0.01,1
"190",0,0,1
"191",0.004,0.004,1
"192",0,0,1
"193",0.002,0.002,1
"194",0.019,0.019,1
"195",0.094,0.094,0
"196",0.001,0.001,1
"197",0.038,0.038,1
"198",0.008,0.008,1
"199",0,0,1
"200",0.031,0.031,0
"201",0.004,0.004,1
"202",0.034,0.034,1
"203",0.002,0.002,1
"204",0.001,0.001,1
"205",0.002,0.002,1
"206",0.048,0.048,0
"207",0.003,0.003,1
"208",0.008,0.008,1
"209",0.007,0.007,1
"210",0.005,0.005,1
"211",0.011,0.011,1
"212",0.019,0.019,1
"213",0.018,0.018,1
"214",0.03,0.03,1
"215",0.023,0.023,0
"216",0.003,0.003,1
"217",0.005,0.005,1
"218",0,0,1
"219",0.009,0.009,1
"220",0.002,0.002,1
"221",0.002,0.002,1
"222",0.003,0.003,1
"223",0.009,0.009,1
"224",0,0,1
"225",0.005,0.005,1
"226",0.007,0.007,1
"227",0.006,0.006,1
"228",0.01,0.01,1
"229",0,0,1
"230",0.004,0.004,1
"231",0.004,0.004,1
"232",0.002,0.002,1
"233",0.002,0.002,1
"234",0.025,0.025,1
"235",0.001,0.001,1
"236",0.002,0.002,1
"237",0.003,0.003,1
"238",0.004,0.004,1
"239",0.003,0.003,1
"240",0.004,0.004,1
"241",0,0,1
"242",0.004,0.004,1
"243",0,0,1
"244",0.004,0.004,1
"245",0.217,0.217,0
"246",0.005,0.005,1
"247",0.006,0.006,1
"248",0.002,0.002,1
"249",0.374,0.374,0
"250",0.001,0.001,1
"251",0.004,0.004,1
"252",0.028,0.028,1
"253",0.001,0.001,1
"254",0,0,1
"255",0.007,0.007,1
"256",0.002,0.002,1
"257",0.001,0.001,1
"258",0.001,0.001,1
"259",0.001,0.001,1
"260",0.004,0.004,1
"261",0.001,0.001,1
"262",0.002,0.002,1
"263",0,0,1
"264",0.001,0.001,1
"265",0.005,0.005,1
"266",0.004,0.004,1
"267",0,0,1
"268",0.042,0.042,0
"269",0.002,0.002,1
"270",0,0,1
"271",0.01,0.01,1
"272",0.001,0.001,1
"273",0.011,0.011,1
"274",0.007,0.007,1
"275",0.016,0.016,1
"276",0.008,0.008,1
"277",0.003,0.003,1
"278",0.001,0.001,1
"279",0.001,0.001,1
"280",0.004,0.004,1
"281",0.133,0.133,0
"282",0.072,0.072,0
"283",0,0,1
"284",0,0,1
"285",0.005,0.005,1
"286",0.01,0.01,1
"287",0.048,0.048,0
"288",0.001,0.001,1
"289",0.012,0.012,1
"290",0.011,0.011,1
"291",0.004,0.004,1
"292",0.003,0.003,1
"293",0,0,1
"294",0.004,0.004,1
