"","","","","","","","bonf_res"
"1",0.637333333333333,0,1,0,0,0,0
"2",0.588,0,0,0,0,1,0
"3",0.0013333333333333,0,0,0,0,1,1
"4",0.266666666666667,0,0,0,0,1,0
"5",0.0493333333333333,0,1,0,0,0,0
"6",0.901333333333333,0,0,0,0,1,0
"7",0.312,0,0,1,0,0,0
"8",0.036,0,1,0,0,0,1
"9",0.777333333333333,0,1,0,0,0,0
"10",0.550666666666667,0,1,0,0,0,0
"11",0.944,0,0,0,0,1,0
"12",0.462666666666667,0,0,0,0,1,0
"13",0.916,0,0,1,0,0,0
"14",0.862666666666667,0,0,0,1,0,0
"15",0.761333333333333,0,0,0,0,1,0
"16",0.945333333333333,0,1,0,0,0,0
"17",0.317333333333333,0,1,0,0,0,0
"18",0.168,0,0,0,0,1,0
"19",0.238666666666667,0,0,0,0,1,0
"20",0.729333333333333,0,0,1,0,0,0
"21",0.14,0,0,0,0,1,0
"22",0.172,0,0,0,0,1,0
"23",0.754666666666667,0,0,0,0,1,0
"24",0.510666666666667,0,1,0,0,0,0
"25",0.249333333333333,0,0,0,0,1,0
"26",0.968,0,0,0,1,0,0
"27",0.757333333333333,0,0,1,0,0,0
"28",0.372,0,0,0,0,1,0
"29",0.0466666666666666,0,0,0,0,1,0
"30",0.433333333333333,0,0,0,0,1,0
"31",0.012,0,0,0,0,1,1
"32",0.142666666666667,0,0,0,0,1,0
"33",0.504,0,1,0,0,0,0
"34",0.382666666666667,0,1,0,0,0,0
"35",0.134666666666667,0,0,0,0,1,0
"36",0.036,0,0,0,0,1,1
"37",0.58,0,0,0,0,1,0
"38",0.533333333333333,0,0,0,0,1,0
"39",0.942666666666667,0,0,1,0,0,0
"40",0.304,0,1,0,0,0,0
"41",0.849333333333333,0,1,0,0,0,0
"42",0.256,0,0,0,0,1,0
"43",0.96,0,0,0,1,0,0
"44",0.489333333333333,0,0,0,0,1,0
"45",0.157333333333333,0,0,0,0,1,0
"46",0.981333333333333,0,0,1,0,0,0
"47",0.626666666666667,0,0,0,0,1,0
"48",0.376,0,0,0,1,0,0
"49",0.990666666666667,0,0,0,1,0,0
"50",0.966666666666667,0,1,0,0,0,0
"51",0.272,0,1,0,0,0,0
"52",0.354666666666667,0,0,0,0,1,0
"53",0.486666666666667,0,0,0,0,1,0
"54",0.670666666666667,0,1,0,0,0,0
"55",0.449333333333333,0,0,0,0,1,0
"56",0.373333333333333,0,0,1,0,0,0
"57",0.504,0,0,1,0,0,0
"58",0.226666666666667,0,0,0,0,1,0
"59",0.498666666666667,0,1,0,0,0,0
"60",0.433333333333333,0,1,0,0,0,0
"61",0.158666666666667,0,0,0,1,0,0
"62",0.0466666666666666,0,0,0,0,1,0
"63",0.965333333333333,0,1,0,0,0,0
"64",0.0626666666666666,0,0,0,0,1,0
"65",0.186666666666667,0,0,0,0,1,0
"66",0.458666666666667,0,1,0,0,0,0
"67",0.0586666666666666,0,0,1,0,0,0
"68",0.850666666666667,0,0,0,0,1,0
"69",0.137333333333333,0,0,0,0,1,0
"70",0.494666666666667,0,1,0,0,0,0
"71",0.02,0,0,0,0,1,0
"72",0.605333333333333,0,0,0,0,1,0
"73",0.522666666666667,0,1,0,0,0,0
"74",0.341333333333333,0,0,0,0,1,0
"75",0.825333333333333,0,0,0,0,1,0
"76",0.666666666666667,0,1,0,0,0,0
"77",0.389333333333333,0,1,0,0,0,0
