"","","","","","","","","bonf_res"
"1",0,1,0,0,0,0,0,1
"2",0.004,1,0,0,0,0,0,1
"3",0,0,0,0,0,0,1,1
"4",0.032,0,1,0,0,0,0,1
"5",0.136,0,0,1,0,0,0,0
"6",0.00800000000000001,0,0,1,0,0,0,1
"7",0,0,0,0,0,0,1,1
"8",0.004,0,0,0,0,1,0,1
"9",0.02,0,0,0,0,1,0,1
"10",0.002,0,0,0,1,0,0,1
"11",0.004,0,1,0,0,0,0,1
"12",0.02,0,0,0,0,1,0,1
"13",0,0,1,0,0,0,0,1
"14",0.01,0,0,1,0,0,0,1
"15",0.00800000000000001,0,1,0,0,0,0,1
"16",0,1,0,0,0,0,0,1
"17",0,0,1,0,0,0,0,1
"18",0.014,0,0,0,0,0,1,1
"19",0,1,0,0,0,0,0,1
"20",0.004,1,0,0,0,0,0,1
"21",0.00800000000000001,0,0,0,1,0,0,1
"22",0,1,0,0,0,0,0,1
"23",0.002,0,0,0,1,0,0,1
"24",0,0,0,0,0,0,1,1
"25",0.004,1,0,0,0,0,0,1
"26",0.002,0,0,1,0,0,0,1
"27",0.004,0,0,1,0,0,0,1
"28",0.07,0,0,0,0,1,0,1
"29",0,0,0,1,0,0,0,1
"30",0.048,0,1,0,0,0,0,1
"31",0.158,0,0,1,0,0,0,0
"32",0,0,1,0,0,0,0,1
"33",0.076,0,1,0,0,0,0,1
"34",0,0,1,0,0,0,0,1
"35",0,0,0,1,0,0,0,1
"36",0.002,1,0,0,0,0,0,1
"37",0,0,1,0,0,0,0,1
"38",0.002,1,0,0,0,0,0,1
"39",0,0,0,0,0,1,0,1
"40",0.004,0,1,0,0,0,0,1
"41",0.014,0,1,0,0,0,0,1
"42",0.002,0,1,0,0,0,0,1
"43",0.054,0,0,0,0,0,1,1
"44",0.004,0,0,1,0,0,0,1
"45",0,0,1,0,0,0,0,1
"46",0,0,0,1,0,0,0,1
"47",0,0,0,1,0,0,0,1
"48",0,0,1,0,0,0,0,1
"49",0,0,1,0,0,0,0,1
"50",0.00800000000000001,0,1,0,0,0,0,1
"51",0.00800000000000001,0,0,0,0,1,0,1
"52",0.014,0,1,0,0,0,0,1
"53",0,0,1,0,0,0,0,1
"54",0.00800000000000001,0,1,0,0,0,0,1
"55",0.0620000000000001,0,1,0,0,0,0,0
