"","","","","","","","bonf_res"
"1",0.38,0,0,0,1,0,0
"2",0.032,0,0,1,0,0,0
"3",0.516,0,0,0,0,1,0
"4",0.138,0,0,0,0,1,0
"5",0.866,0,0,0,1,0,0
"6",0.622,0,0,0,0,1,0
"7",0.082,0,0,0,1,0,0
"8",0.618,0,0,1,0,0,0
"9",0.102,0,0,0,0,1,0
"10",0.934,0,0,0,1,0,0
"11",0.59,0,0,1,0,0,0
"12",0.572,0,1,0,0,0,0
"13",0.726,0,0,0,0,1,0
"14",0.598,0,0,0,1,0,0
"15",0.392,0,0,0,1,0,0
"16",0.622,0,0,1,0,0,0
"17",0.726,0,0,0,1,0,0
"18",0.352,0,0,1,0,0,0
"19",0.012,0,0,0,1,0,1
"20",0.718,0,0,0,1,0,0
"21",0.728,0,0,0,1,0,0
"22",0.678,0,0,1,0,0,0
"23",0.086,0,0,0,0,1,0
"24",0.358,0,0,0,1,0,0
"25",0.0600000000000001,0,0,0,0,1,0
"26",0.444,0,0,0,0,1,0
"27",0.034,0,0,0,1,0,1
"28",0.752,0,0,0,1,0,0
"29",0.958,0,0,0,0,1,0
"30",0.28,0,0,0,1,0,0
"31",0.972,0,0,1,0,0,0
"32",0.014,0,0,0,1,0,0
"33",0.828,0,0,1,0,0,0
"34",0.28,0,0,1,0,0,0
"35",0.268,0,0,0,1,0,0
"36",0.372,0,0,0,1,0,0
"37",0.582,0,0,0,1,0,0
"38",0.258,0,0,1,0,0,0
"39",0.048,0,0,0,0,1,0
"40",0.7,0,0,0,0,1,0
"41",0.584,0,0,0,0,1,0
"42",0.884,0,0,1,0,0,0
"43",0.026,0,0,0,0,1,0
"44",0.82,0,0,1,0,0,0
"45",0.074,0,0,0,0,1,0
"46",0.142,0,0,0,1,0,0
"47",0.73,0,0,1,0,0,0
"48",0.562,0,0,0,1,0,0
"49",0.536,0,0,0,0,1,0
"50",0.054,0,0,0,0,1,0
"51",0.532,0,1,0,0,0,0
"52",0.35,0,0,0,0,1,0
"53",0.254,0,0,0,0,1,0
"54",0.77,0,0,0,0,1,0
"55",0.878,0,0,1,0,0,0
"56",0.844,0,0,1,0,0,0
"57",0.528,0,0,0,0,1,0
"58",0.824,0,0,0,0,1,0
"59",0.52,0,0,0,0,1,0
"60",0.944,0,0,0,1,0,0
"61",0.33,0,0,1,0,0,0
"62",0.024,0,0,0,0,1,0
"63",0.448,0,0,0,0,1,0
"64",0.628,0,0,0,1,0,0
"65",0.666,0,0,0,1,0,0
"66",0.876,0,0,1,0,0,0
"67",0.252,0,0,1,0,0,0
"68",0.67,0,1,0,0,0,0
"69",0.368,0,0,1,0,0,0
"70",0.42,0,0,1,0,0,0
"71",0.738,0,0,1,0,0,0
"72",0.254,0,0,0,0,1,0
"73",0.204,0,0,0,0,1,0
"74",0.684,0,0,0,1,0,0
"75",0.0620000000000001,0,0,1,0,0,0
"76",0.396,0,0,0,0,1,0
"77",0.93,0,1,0,0,0,0
"78",0.606,0,0,0,0,1,0
"79",0.828,0,0,0,0,1,0
"80",0.528,0,0,1,0,0,0
"81",0.162,0,0,0,1,0,0
"82",0.706,0,0,1,0,0,0
"83",0.518,0,0,0,0,1,0
"84",0.908,0,0,1,0,0,0
"85",0.246,0,0,0,1,0,0
"86",0.848,0,0,0,0,1,0
"87",0.312,0,0,0,0,1,0
"88",0.62,0,0,1,0,0,0
"89",0.51,0,0,1,0,0,0
"90",0.69,0,0,1,0,0,0
"91",0.684,0,0,0,1,0,0
"92",0.308,0,0,0,0,1,0
"93",0.606,0,0,0,0,1,0
