"","","","bonf_res"
"1",0.514,0.514,0
"2",0.3375,0.3375,0
"3",0.8835,0.8835,0
"4",0.799,0.799,0
"5",0.0585,0.0585,0
"6",0.013,0.013,1
"7",0.2125,0.2125,0
"8",0.31,0.31,0
"9",0.776,0.776,0
"10",0.7285,0.7285,0
"11",0.648,0.648,0
"12",0.613,0.613,0
"13",0.282,0.282,0
"14",0.2165,0.2165,0
"15",0.3185,0.3185,0
"16",0.046,0.046,0
"17",0.5185,0.5185,0
"18",0.626,0.626,0
"19",0.07,0.07,0
"20",0.27,0.27,0
"21",0.649,0.649,0
"22",0.821,0.821,0
"23",0.608,0.608,0
"24",0.6535,0.6535,0
"25",0.7045,0.7045,0
"26",0.812,0.812,0
"27",0.8675,0.8675,0
"28",0.1725,0.1725,0
"29",0.3635,0.3635,0
"30",0.0915,0.0915,0
"31",0.6995,0.6995,0
"32",0.1315,0.1315,0
"33",0.086,0.086,0
"34",0.6285,0.6285,0
"35",0.9965,0.9965,0
"36",0.3465,0.3465,0
"37",0.4215,0.4215,0
"38",0.4355,0.4355,0
"39",0.2845,0.2845,0
"40",0.389,0.389,0
"41",0.3325,0.3325,0
"42",0.8225,0.8225,0
"43",0.3595,0.3595,0
"44",0.052,0.052,0
"45",0.317,0.317,0
"46",0.0235,0.0235,0
"47",0.595,0.595,0
"48",0.423,0.423,0
"49",0.332,0.332,0
"50",0.871,0.871,0
"51",0.5475,0.5475,0
"52",0.904,0.904,0
"53",0.329,0.329,0
"54",0.2225,0.2225,0
"55",0.911,0.911,0
"56",0.188,0.188,0
"57",0.378,0.378,0
"58",0.8045,0.8045,0
"59",0.902,0.902,0
"60",0.232,0.232,0
"61",0.711,0.711,0
"62",0.4415,0.4415,0
"63",0.1195,0.1195,0
"64",0.424,0.424,0
"65",0.5685,0.5685,0
"66",0.3575,0.3575,0
"67",0.3705,0.3705,0
"68",0.7675,0.7675,0
"69",0.609,0.609,0
"70",0.3255,0.3255,0
"71",0.149,0.149,0
"72",0.012,0.012,1
"73",0.612,0.612,0
"74",0.6395,0.6395,0
"75",0.7285,0.7285,0
"76",0.266,0.266,0
"77",0.6285,0.6285,0
"78",0.6235,0.6235,0
"79",0.2425,0.2425,0
"80",0.7255,0.7255,0
"81",0.6155,0.6155,0
"82",0.5955,0.5955,0
"83",0.7835,0.7835,0
"84",0.228,0.228,0
"85",0.3575,0.3575,0
"86",0.7445,0.7445,0
"87",0.55,0.55,0
"88",0.3755,0.3755,0
"89",0.9685,0.9685,0
"90",0.3205,0.3205,0
"91",0.556,0.556,0
"92",0.299,0.299,0
"93",0.45,0.45,0
"94",0.301,0.301,0
"95",0.2215,0.2215,0
"96",0.4095,0.4095,0
"97",0.3385,0.3385,0
"98",0.902,0.902,0
"99",0.7735,0.7735,0
"100",0.4865,0.4865,0
"101",0.7655,0.7655,0
"102",0.088,0.088,0
"103",0.524,0.524,0
"104",0.943,0.943,0
"105",0.4115,0.4115,0
"106",0.6215,0.6215,0
"107",0.323,0.323,0
"108",0.5055,0.5055,0
"109",0.5715,0.5715,0
"110",0.2105,0.2105,0
"111",0.0495,0.0495,0
"112",0.4035,0.4035,0
"113",0.6375,0.6375,0
"114",0.559,0.559,0
"115",0.2765,0.2765,0
"116",0.079,0.079,0
"117",0.2945,0.2945,0
"118",0.2205,0.2205,0
"119",0.0475,0.0475,0
"120",0.5745,0.5745,0
"121",0.161,0.161,0
"122",0.144,0.144,0
"123",0.351,0.351,0
"124",0.305,0.305,0
"125",0.5385,0.5385,0
"126",0.32,0.32,0
"127",0.5035,0.5035,0
"128",0.4585,0.4585,0
"129",0.3005,0.3005,0
"130",0.779,0.779,0
"131",0.632,0.632,0
"132",0.1515,0.1515,0
"133",0.755,0.755,0
"134",0.0045,0.0045,1
"135",0.872,0.872,0
"136",0.452,0.452,0
"137",0.113,0.113,0
"138",0.017,0.017,1
"139",0.415,0.415,0
"140",0.4205,0.4205,0
"141",0.2135,0.2135,0
"142",0.2455,0.2455,0
"143",0.1805,0.1805,0
"144",0.6445,0.6445,0
"145",0.028,0.028,1
"146",0.1475,0.1475,0
"147",0.828,0.828,0
"148",0.873,0.873,0
"149",0.3375,0.3375,0
"150",0.2215,0.2215,0
"151",0.4845,0.4845,0
"152",0.517,0.517,0
"153",0.3035,0.3035,0
"154",0.3435,0.3435,0
"155",0.3365,0.3365,0
"156",0.2095,0.2095,0
"157",0.4145,0.4145,0
"158",0.7155,0.7155,0
"159",0.2285,0.2285,0
"160",0.023,0.023,0
"161",0.666,0.666,0
"162",0.9875,0.9875,0
"163",0.0145,0.0145,1
"164",0.763,0.763,0
"165",0.3575,0.3575,0
"166",0.299,0.299,0
"167",0.736,0.736,0
"168",0.1765,0.1765,0
"169",0.5655,0.5655,0
"170",0.7415,0.7415,0
"171",0.01,0.01,1
"172",0.4255,0.4255,0
"173",0.1265,0.1265,0
"174",0.528,0.528,0
"175",0.43,0.43,0
"176",0.909,0.909,0
"177",0.5095,0.5095,0
"178",0.0225,0.0225,0
"179",0.5325,0.5325,0
"180",0.296,0.296,0
"181",0.2775,0.2775,0
"182",0.218,0.218,0
"183",0.1055,0.1055,0
"184",0.058,0.058,0
"185",0.3015,0.3015,0
"186",0.216,0.216,0
"187",0.5345,0.5345,0
"188",0.8475,0.8475,0
"189",0.7565,0.7565,0
"190",0.416,0.416,0
"191",0.8075,0.8075,0
"192",0.2615,0.2615,0
"193",0.68,0.68,0
"194",0.7125,0.7125,0
"195",0.2235,0.2235,0
"196",0.474,0.474,0
"197",0.7315,0.7315,0
"198",0.486,0.486,0
