"","","","bonf_res"
"1",0,0,1
"2",0,0,1
"3",0.001,0.001,1
"4",0.003,0.003,1
"5",0.338,0.338,0
"6",0.002,0.002,1
"7",0.001,0.001,1
"8",0.002,0.002,1
"9",0.002,0.002,1
"10",0.001,0.001,1
"11",0.003,0.003,1
"12",0,0,1
"13",0.004,0.004,1
"14",0.005,0.005,1
"15",0.002,0.002,1
"16",0,0,1
"17",0.013,0.013,1
"18",0.009,0.009,1
"19",0,0,1
"20",0.007,0.007,1
"21",0.001,0.001,1
"22",0.002,0.002,1
"23",0.003,0.003,1
"24",0.007,0.007,1
"25",0.001,0.001,1
"26",0.005,0.005,1
"27",0.006,0.006,1
"28",0.003,0.003,1
"29",0.002,0.002,1
"30",0.002,0.002,1
"31",0.002,0.002,1
"32",0.001,0.001,1
"33",0,0,1
"34",0.001,0.001,1
"35",0.002,0.002,1
"36",0,0,1
"37",0.05,0.05,0
"38",0.001,0.001,1
"39",0.002,0.002,1
"40",0,0,1
"41",0.001,0.001,1
"42",0,0,1
"43",0,0,1
"44",0.004,0.004,1
"45",0,0,1
"46",0.002,0.002,1
"47",0.001,0.001,1
"48",0.012,0.012,1
"49",0.002,0.002,1
"50",0.003,0.003,1
"51",0.007,0.007,1
"52",0.011,0.011,1
"53",0.001,0.001,1
"54",0,0,1
"55",0.001,0.001,1
"56",0.001,0.001,1
"57",0,0,1
"58",0.001,0.001,1
"59",0.009,0.009,1
"60",0.004,0.004,1
"61",0,0,1
"62",0.005,0.005,1
"63",0.004,0.004,1
"64",0.003,0.003,1
"65",0.002,0.002,1
"66",0.025,0.025,1
"67",0.004,0.004,1
"68",0.004,0.004,1
"69",0.003,0.003,1
"70",0,0,1
"71",0.005,0.005,1
"72",0.001,0.001,1
"73",0.004,0.004,1
"74",0,0,1
"75",0.005,0.005,1
"76",0.006,0.006,1
"77",0.005,0.005,1
"78",0.001,0.001,1
"79",0.006,0.006,1
"80",0.006,0.006,1
"81",0.002,0.002,1
"82",0,0,1
"83",0,0,1
"84",0.327,0.327,0
"85",0.005,0.005,1
"86",0.002,0.002,1
"87",0,0,1
"88",0.006,0.006,1
"89",0.005,0.005,1
"90",0,0,1
"91",0.004,0.004,1
"92",0.026,0.026,1
"93",0.003,0.003,1
"94",0.008,0.008,1
"95",0.003,0.003,1
"96",0.001,0.001,1
"97",0,0,1
"98",0.004,0.004,1
"99",0,0,1
"100",0,0,1
"101",0.004,0.004,1
"102",0.016,0.016,1
"103",0.002,0.002,1
"104",0.002,0.002,1
"105",0.004,0.004,1
"106",0.001,0.001,1
"107",0.007,0.007,1
"108",0.001,0.001,1
"109",0.003,0.003,1
"110",0.001,0.001,1
"111",0.002,0.002,1
"112",0.003,0.003,1
"113",0.053,0.053,0
"114",0.001,0.001,1
"115",0.006,0.006,1
"116",0.005,0.005,1
