"","","","","","","","bonf_res"
"168",0.432,0,0,0,0,1,0
"169",0.084,0,0,0,0,1,0
"170",0.2,0,0,0,0,1,0
"171",0.56,0,0,0,0,1,0
"172",0.816,0,1,0,0,0,0
"173",0.676,0,0,0,0,1,0
"174",0.728,0,1,0,0,0,0
"175",0.228,0,0,0,0,1,0
"176",0.048,0,1,0,0,0,1
"177",0.736,0,1,0,0,0,0
"178",0.336,0,0,1,0,0,0
"179",0.712,0,0,1,0,0,0
"180",0.836,0,0,0,1,0,0
"181",0.144,0,1,0,0,0,0
"182",0.312,0,0,0,1,0,0
"183",0.336,0,1,0,0,0,0
"184",0.168,0,0,0,0,1,0
"185",0.764,0,0,1,0,0,0
"186",0.14,0,0,0,0,1,0
"187",0.028,0,0,0,0,1,0
"188",0.08,0,1,0,0,0,1
"189",0.652,0,0,0,0,1,0
"190",0.108,0,0,0,0,1,0
"191",0.496,0,0,0,0,1,0
"192",0.176,1,0,0,0,0,0
"193",0.072,0,0,0,0,1,0
"194",0.104,0,0,1,0,0,0
"195",0.248,0,1,0,0,0,0
"196",0.1,0,0,0,0,1,0
"197",0.584,0,1,0,0,0,0
"198",0.98,0,0,0,0,1,0
"199",0.224,0,0,0,0,1,0
"200",0.232,0,0,0,0,1,0
"201",0.368,0,0,1,0,0,0
"202",0,0,1,0,0,0,1
"203",0.7,0,0,0,0,1,0
"204",0.092,0,0,0,1,0,0
"205",0.38,0,0,1,0,0,0
"206",0.028,0,0,0,1,0,1
"207",0.692,0,0,1,0,0,0
"208",0.52,0,0,1,0,0,0
"209",0.0679999999999999,0,0,1,0,0,1
"210",0.644,0,0,0,0,1,0
"211",0.324,0,0,0,0,1,0
"212",0.304,0,1,0,0,0,0
"213",0.692,0,0,0,1,0,0
"214",0.544,0,0,0,0,1,0
"215",0.004,0,0,0,0,1,1
"216",0.2,0,0,0,0,1,0
"217",0.152,0,0,1,0,0,0
"218",0.484,0,0,1,0,0,0
"219",0.456,0,0,0,0,1,0
"220",0.024,0,0,0,0,1,0
"221",0.168,0,0,0,0,1,0
"222",0.948,0,1,0,0,0,0
"223",0.012,0,0,0,1,0,1
"224",0.712,0,0,0,0,1,0
"225",0.232,0,0,1,0,0,0
"226",0.776,0,0,1,0,0,0
"227",0.592,0,0,0,0,1,0
"228",0.00800000000000001,0,0,0,0,1,1
"229",0.676,0,1,0,0,0,0
"230",0.004,0,0,0,0,1,1
"231",0.364,0,0,1,0,0,0
"232",0.524,0,0,0,0,1,0
"233",0.188,0,0,1,0,0,0
"234",0.036,0,0,1,0,0,0
"235",0.34,0,1,0,0,0,0
"236",0.428,0,1,0,0,0,0
"237",0.864,0,1,0,0,0,0
"238",0.024,0,0,0,1,0,0
"239",0.312,0,1,0,0,0,0
"240",0.376,0,0,1,0,0,0
"241",0.472,0,0,0,0,1,0
"242",0.504,0,0,0,1,0,0
"243",0.64,0,0,0,0,1,0
"244",0.02,0,0,1,0,0,1
"245",0.236,0,0,0,0,1,0
"246",0.708,0,0,0,0,1,0
"247",0.936,0,1,0,0,0,0
"248",0.716,0,0,0,0,1,0
"249",0.256,0,0,0,0,1,0
"250",0.652,0,0,0,1,0,0
"251",0.196,0,1,0,0,0,0
"252",0.344,0,0,0,0,1,0
"253",0.392,1,0,0,0,0,0
"254",0.112,0,0,0,0,1,0
"255",0.364,0,0,0,0,1,0
"256",0.172,0,0,1,0,0,0
"257",0.856,0,0,1,0,0,0
"258",0.156,0,0,0,0,1,0
"259",0.916,0,1,0,0,0,0
"260",0.2,0,1,0,0,0,0
"261",0.856,0,0,0,0,1,0
"262",0.696,0,1,0,0,0,0
"263",0.076,0,0,0,0,1,0
"264",0.1,0,0,1,0,0,0
"265",0.424,0,0,0,0,1,0
"266",0.764,0,0,0,0,1,0
"267",0.708,0,1,0,0,0,0
"268",0.872,0,0,0,0,1,0
"269",0.012,0,0,1,0,0,1
"270",0.152,0,0,0,0,1,0
"271",0.128,0,0,1,0,0,0
"272",0.724,0,0,0,0,1,0
"273",0.448,0,0,1,0,0,0
"274",0.08,0,1,0,0,0,1
"275",0.016,0,0,0,0,1,1
"276",0.196,0,0,0,0,1,0
"277",0.38,0,1,0,0,0,0
"278",0.284,0,0,0,0,1,0
"279",0.872,0,1,0,0,0,0
"280",0.596,0,0,0,0,1,0
"281",0.168,0,0,0,0,1,0
"282",0.46,0,0,0,0,1,0
"283",0.492,0,0,0,0,1,0
"284",0.096,0,0,0,0,1,0
"285",0.0679999999999999,0,0,0,0,1,0
"286",0.116,1,0,0,0,0,0
"287",0.508,0,0,0,0,1,0
"288",0.036,0,0,0,0,1,0
"289",0.288,0,0,0,0,1,0
"290",0.088,0,1,0,0,0,0
"291",0.248,0,0,1,0,0,0
"292",0.276,0,0,0,0,1,0
"293",0.104,0,1,0,0,0,0
"294",0.16,0,0,0,0,1,0
"295",0.004,0,0,0,0,1,1
"296",0.808,0,1,0,0,0,0
"297",0.272,0,0,0,0,1,0
"298",0.348,0,0,0,1,0,0
"299",0.176,0,0,0,0,1,0
"300",0.164,0,0,0,0,1,0
"301",0.148,0,1,0,0,0,1
"302",0.048,0,0,1,0,0,0
"303",0.304,0,0,0,0,1,0
"304",0.004,0,1,0,0,0,1
"305",0.624,0,0,0,0,1,0
"306",0.388,0,0,0,0,1,0
"307",0.768,0,0,0,0,1,0
"308",0.084,0,1,0,0,0,1
"309",0.968,1,0,0,0,0,0
"310",0.00800000000000001,0,1,0,0,0,1
"311",0.64,0,1,0,0,0,0
"312",0.612,0,0,0,1,0,0
"313",0.38,0,0,0,0,1,0
"314",0.432,0,0,0,1,0,0
"315",0.336,0,1,0,0,0,0
"316",0.612,0,1,0,0,0,0
"317",0.5,0,0,0,0,1,0
"318",0.168,0,0,0,0,1,0
"319",0.28,0,0,0,0,1,0
"320",0.352,0,1,0,0,0,0
"321",0.196,0,0,0,0,1,0
"322",0.224,0,0,1,0,0,0
"323",0.404,0,0,1,0,0,0
"324",0.168,0,0,0,0,1,0
"325",0.328,0,1,0,0,0,0
"326",0.472,0,0,1,0,0,0
"327",0.304,0,1,0,0,0,0
"328",0.824,0,1,0,0,0,0
"329",0.104,0,0,0,0,1,0
"330",0.16,0,1,0,0,0,1
"331",0.444,0,0,0,1,0,0
"332",0.016,0,0,0,0,1,1
"333",0.052,0,1,0,0,0,0
"334",0.184,0,0,0,0,1,0
"335",0.544,0,0,0,1,0,0
"336",0.56,0,0,0,0,1,0
"337",0.596,0,0,0,1,0,0
"338",0.448,0,1,0,0,0,0
"339",0.328,0,0,0,0,1,0
"340",0.856,0,0,0,0,1,0
"341",0.268,0,0,0,1,0,0
"342",0.088,0,1,0,0,0,0
"343",0.344,0,0,1,0,0,0
"344",0.144,0,0,0,1,0,0
"345",0.424,0,0,0,0,1,0
"346",0.396,0,1,0,0,0,0
"347",0.18,0,0,1,0,0,0
"348",0.304,0,0,0,0,1,0
"349",0.984,0,1,0,0,0,0
"350",0.0639999999999999,0,0,0,0,1,0
"351",0.468,1,0,0,0,0,0
"352",0.344,0,0,1,0,0,0
"353",0.98,0,0,0,0,1,0
"354",0.196,0,0,0,0,1,0
"355",0.048,0,0,0,0,1,0
"356",0.288,0,1,0,0,0,0
"357",0.236,0,0,1,0,0,0
"358",0.688,0,0,0,0,1,0
"359",0.212,0,0,0,0,1,0
"360",0.42,0,0,0,0,1,0
"361",0.812,0,1,0,0,0,0
"362",0.436,1,0,0,0,0,0
"363",0.0639999999999999,0,1,0,0,0,0
"364",0.056,0,0,0,0,1,1
"365",0.156,0,0,0,0,1,0
"366",0.032,0,0,0,0,1,0
"367",0.032,0,0,0,0,1,0
"368",0.5,0,1,0,0,0,0
"369",0.172,0,0,1,0,0,0
"370",0.372,0,0,1,0,0,0
"371",0.276,0,1,0,0,0,0
"372",0.088,0,0,0,0,1,0
"373",0.372,0,0,1,0,0,0
"374",0.092,0,0,0,0,1,0
"375",0.668,0,1,0,0,0,0
"376",0.108,0,0,0,0,1,0
"377",0.812,0,1,0,0,0,0
"378",0.092,0,0,0,0,1,0
"379",0.096,0,0,1,0,0,0
"380",0.288,0,0,0,0,1,0
"381",0.376,0,0,1,0,0,0
"382",0.192,0,1,0,0,0,0
"383",0.032,0,0,0,0,1,0
"384",0.232,0,0,0,0,1,0
"385",0.444,0,0,0,0,1,0
"386",0.092,0,0,0,0,1,0
"387",0.944,0,1,0,0,0,0
"388",0.976,0,0,1,0,0,0
"389",0.436,0,0,0,0,1,0
"390",0.392,0,1,0,0,0,0
"391",0.256,0,1,0,0,0,0
"392",0.472,0,0,0,0,1,0
"393",0.516,0,0,0,0,1,0
"394",0.128,0,1,0,0,0,1
"395",0.384,0,0,1,0,0,0
"396",0.976,0,1,0,0,0,0
"397",0.044,0,0,0,0,1,0
"398",0.04,0,0,1,0,0,0
"399",0.056,0,1,0,0,0,1
"400",0.556,0,1,0,0,0,0
