"","","","bonf_res"
"1",0.001,0.001,1
"2",0.0725,0.0725,0
"3",0.0025,0.0025,1
"4",0.067,0.067,0
"5",0.001,0.001,1
"6",0.0195,0.0195,1
"7",0.078,0.078,0
"8",0.001,0.001,1
"9",0.001,0.001,1
"10",0,0,1
"11",5e-04,5e-04,1
"12",5e-04,5e-04,1
"13",0.0045,0.0045,1
"14",0.0255,0.0255,0
"15",0.0025,0.0025,1
"16",0.0035,0.0035,1
"17",0,0,1
"18",5e-04,5e-04,1
"19",0.003,0.003,1
"20",5e-04,5e-04,1
"21",0.027,0.027,0
"22",0.006,0.006,1
"23",0.001,0.001,1
"24",0.0235,0.0235,1
"25",0.045,0.045,0
"26",0.001,0.001,1
"27",0.0015,0.0015,1
"28",0.0015,0.0015,1
"29",0.021,0.021,1
"30",0.002,0.002,1
"31",0.001,0.001,1
"32",0.0015,0.0015,1
"33",5e-04,5e-04,1
"34",0.0025,0.0025,1
"35",0.0015,0.0015,1
"36",0,0,1
"37",0.095,0.095,0
"38",0.0035,0.0035,1
"39",0.0265,0.0265,1
"40",5e-04,5e-04,1
"41",0.0075,0.0075,1
"42",0.002,0.002,1
"43",0.004,0.004,1
"44",0,0,1
"45",0.001,0.001,1
"46",0.001,0.001,1
"47",5e-04,5e-04,1
"48",0,0,1
"49",0.002,0.002,1
"50",0.001,0.001,1
"51",5e-04,5e-04,1
"52",5e-04,5e-04,1
"53",0.0025,0.0025,1
"54",0.078,0.078,0
"55",0.001,0.001,1
"56",5e-04,5e-04,1
"57",0.022,0.022,1
"58",0.0015,0.0015,1
"59",0.0255,0.0255,0
"60",0.001,0.001,1
"61",0.0115,0.0115,1
"62",0.0015,0.0015,1
"63",0.0915,0.0915,0
"64",0.003,0.003,1
"65",0.0015,0.0015,1
"66",0.0015,0.0015,1
"67",0.005,0.005,1
"68",0.0255,0.0255,1
"69",0.001,0.001,1
"70",5e-04,5e-04,1
"71",0.018,0.018,0
"72",0.0075,0.0075,1
"73",0.015,0.015,1
"74",0.001,0.001,1
"75",0.0065,0.0065,1
"76",0.0025,0.0025,1
"77",0.0015,0.0015,1
"78",0,0,1
"79",0,0,1
"80",0.001,0.001,1
"81",0.0045,0.0045,1
"82",0.0015,0.0015,1
"83",0.002,0.002,1
"84",0.0025,0.0025,1
"85",0,0,1
"86",0.0025,0.0025,1
"87",0.0015,0.0015,1
"88",0,0,1
"89",0,0,1
"90",0.0105,0.0105,1
"91",0.0015,0.0015,1
"92",0.002,0.002,1
"93",0.0055,0.0055,1
"94",0.0225,0.0225,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",0.0725,0.0725,0
"99",0.0285,0.0285,1
"100",0,0,1
"101",0.001,0.001,1
"102",0,0,1
"103",0,0,1
"104",5e-04,5e-04,1
"105",0.002,0.002,1
"106",0.035,0.035,0
"107",0.081,0.081,0
"108",5e-04,5e-04,1
"109",0.003,0.003,1
"110",0.0015,0.0015,1
"111",0.0115,0.0115,1
"112",5e-04,5e-04,1
"113",5e-04,5e-04,1
"114",0.002,0.002,1
"115",5e-04,5e-04,1
"116",0.0015,0.0015,1
"117",0.004,0.004,1
"118",0.001,0.001,1
"119",0.0015,0.0015,1
"120",0,0,1
"121",0.001,0.001,1
"122",0,0,1
"123",0.001,0.001,1
"124",0.0645,0.0645,0
"125",0.001,0.001,1
"126",0.0195,0.0195,1
"127",0.003,0.003,1
"128",0.124,0.124,0
"129",0.001,0.001,1
"130",0.002,0.002,1
"131",5e-04,5e-04,1
"132",0.004,0.004,1
"133",0.0025,0.0025,1
"134",0.001,0.001,1
"135",0.001,0.001,1
"136",5e-04,5e-04,1
"137",0.013,0.013,1
"138",0.006,0.006,1
"139",0.001,0.001,1
"140",0.0085,0.0085,1
"141",0.0825,0.0825,0
"142",0,0,1
"143",0.0015,0.0015,1
"144",5e-04,5e-04,1
"145",5e-04,5e-04,1
"146",5e-04,5e-04,1
"147",0.001,0.001,1
"148",0.001,0.001,1
"149",0.002,0.002,1
"150",0.02,0.02,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",5e-04,5e-04,1
"155",5e-04,5e-04,1
"156",0.001,0.001,1
"157",0,0,1
"158",0.003,0.003,1
"159",0.009,0.009,1
"160",0.1385,0.1385,0
"161",5e-04,5e-04,1
"162",0.0055,0.0055,1
"163",5e-04,5e-04,1
"164",0.013,0.013,1
"165",0.01,0.01,1
"166",0,0,1
"167",0.0015,0.0015,1
"168",0.0235,0.0235,0
"169",0.1045,0.1045,0
"170",0.001,0.001,1
"171",5e-04,5e-04,1
"172",0.0015,0.0015,1
"173",0.232,0.232,0
"174",0.0015,0.0015,1
"175",0.003,0.003,1
"176",0.002,0.002,1
"177",0,0,1
"178",0,0,1
"179",0.0035,0.0035,1
"180",0.004,0.004,1
"181",0.001,0.001,1
"182",0.088,0.088,0
"183",5e-04,5e-04,1
"184",0.0805,0.0805,0
"185",0.002,0.002,1
"186",0.002,0.002,1
"187",0.02,0.02,1
"188",5e-04,5e-04,1
"189",0.002,0.002,1
"190",0.062,0.062,0
"191",0,0,1
"192",5e-04,5e-04,1
"193",0.009,0.009,1
"194",0.0015,0.0015,1
"195",0.0035,0.0035,1
"196",5e-04,5e-04,1
"197",0.002,0.002,1
"198",0.0055,0.0055,1
"199",0.02,0.02,1
"200",5e-04,5e-04,1
"201",0.0065,0.0065,1
"202",0.022,0.022,1
"203",0.001,0.001,1
"204",0.001,0.001,1
"205",0.0325,0.0325,0
"206",0.0185,0.0185,1
"207",0.01,0.01,1
"208",5e-04,5e-04,1
"209",0.002,0.002,1
"210",0.0065,0.0065,1
"211",0.001,0.001,1
"212",0.0455,0.0455,0
"213",0.1245,0.1245,0
"214",0.0035,0.0035,1
"215",0.0015,0.0015,1
"216",5e-04,5e-04,1
"217",0,0,1
"218",0.0155,0.0155,1
"219",0,0,1
"220",0.001,0.001,1
"221",0.002,0.002,1
"222",0.0035,0.0035,1
"223",0,0,1
"224",0.002,0.002,1
"225",0.007,0.007,1
"226",0.0055,0.0055,1
"227",0,0,1
"228",0.0035,0.0035,1
"229",0.001,0.001,1
"230",0.001,0.001,1
"231",0.007,0.007,1
"232",0.001,0.001,1
"233",0.002,0.002,1
"234",0.0325,0.0325,1
"235",0.0205,0.0205,1
"236",5e-04,5e-04,1
"237",0.001,0.001,1
"238",5e-04,5e-04,1
"239",0,0,1
"240",0.1195,0.1195,0
"241",0.0025,0.0025,1
"242",0.0065,0.0065,1
"243",0.0025,0.0025,1
"244",0,0,1
"245",0.053,0.053,0
"246",0.0065,0.0065,1
"247",0.004,0.004,1
"248",0,0,1
"249",0.0495,0.0495,0
"250",0.002,0.002,1
"251",0.004,0.004,1
"252",5e-04,5e-04,1
"253",5e-04,5e-04,1
"254",0.003,0.003,1
"255",0.1655,0.1655,0
"256",5e-04,5e-04,1
"257",0.003,0.003,1
"258",0.002,0.002,1
"259",0.256,0.256,0
"260",0.001,0.001,1
"261",0.011,0.011,1
"262",0.001,0.001,1
"263",5e-04,5e-04,1
"264",0,0,1
"265",0.003,0.003,1
"266",0.088,0.088,0
"267",0.0015,0.0015,1
"268",0.0055,0.0055,1
"269",5e-04,5e-04,1
"270",0.0025,0.0025,1
"271",0.003,0.003,1
"272",5e-04,5e-04,1
"273",0.0015,0.0015,1
"274",0.0035,0.0035,1
"275",0.003,0.003,1
"276",0.006,0.006,1
"277",0,0,1
"278",0,0,1
