"","","","","","","","","bonf_res"
"156",0,0,0,0,0,0,1,1
"157",0.012,0,1,0,0,0,0,1
"158",0,0,1,0,0,0,0,1
"159",0.132,0,1,0,0,0,0,1
"160",0,0,0,1,0,0,0,1
"161",0.012,0,1,0,0,0,0,1
"162",0,0,1,0,0,0,0,1
"163",0,0,1,0,0,0,0,1
"164",0,0,1,0,0,0,0,1
"165",0,0,0,0,0,0,1,1
"166",0.02,0,0,0,0,0,1,1
"167",0,1,0,0,0,0,0,1
"168",0,0,0,1,0,0,0,1
"169",0,0,0,0,0,0,1,1
"170",0.024,1,0,0,0,0,0,1
"171",0.012,0,0,0,1,0,0,1
"172",0,1,0,0,0,0,0,1
"173",0.004,0,0,0,0,0,1,1
"174",0.048,0,0,0,1,0,0,1
"175",0,1,0,0,0,0,0,1
"176",0.016,1,0,0,0,0,0,1
"177",0,1,0,0,0,0,0,1
"178",0.024,0,1,0,0,0,0,1
"179",0,0,1,0,0,0,0,1
"180",0,0,1,0,0,0,0,1
"181",0,0,1,0,0,0,0,1
"182",0,1,0,0,0,0,0,1
"183",0,1,0,0,0,0,0,1
"184",0,1,0,0,0,0,0,1
"185",0,1,0,0,0,0,0,1
"186",0.136,0,0,0,0,1,0,0
"187",0,1,0,0,0,0,0,1
"188",0,1,0,0,0,0,0,1
"189",0.036,0,0,1,0,0,0,0
"190",0.016,0,1,0,0,0,0,1
"191",0.012,0,1,0,0,0,0,0
"192",0.076,0,0,1,0,0,0,1
"193",0,1,0,0,0,0,0,1
"194",0,1,0,0,0,0,0,1
"195",0.0639999999999999,0,0,1,0,0,0,1
"196",0.024,1,0,0,0,0,0,1
"197",0.004,1,0,0,0,0,0,1
"198",0.012,0,1,0,0,0,0,0
"199",0.004,0,0,1,0,0,0,1
"200",0,0,1,0,0,0,0,1
"201",0,0,1,0,0,0,0,1
"202",0.004,0,1,0,0,0,0,1
"203",0,0,0,0,0,0,1,1
"204",0,0,1,0,0,0,0,1
"205",0,0,1,0,0,0,0,1
"206",0,0,1,0,0,0,0,1
"207",0.004,1,0,0,0,0,0,1
"208",0,0,1,0,0,0,0,1
"209",0.02,0,0,1,0,0,0,0
"210",0.02,0,0,1,0,0,0,1
"211",0,0,0,1,0,0,0,1
"212",0,0,0,0,0,0,1,1
"213",0.02,1,0,0,0,0,0,1
"214",0,1,0,0,0,0,0,1
"215",0.048,0,0,0,0,0,1,1
"216",0,0,0,1,0,0,0,1
"217",0,1,0,0,0,0,0,1
"218",0.016,0,0,0,1,0,0,1
"219",0,0,1,0,0,0,0,1
"220",0,1,0,0,0,0,0,1
"221",0,0,0,0,1,0,0,1
"222",0,1,0,0,0,0,0,1
"223",0,1,0,0,0,0,0,1
