"","","","","","","","bonf_res"
"1",0,0,0,0,0,1,1
"2",0.776,0,1,0,0,0,0
"3",0.528,0,0,0,0,1,0
"4",0.884,0,1,0,0,0,0
"5",0.896,0,1,0,0,0,0
"6",0.324,0,0,0,0,1,0
"7",0.884,0,1,0,0,0,0
"8",0.3,0,0,0,0,1,0
"9",0.424,0,0,0,1,0,0
"10",0.312,0,0,1,0,0,0
"11",0.668,0,1,0,0,0,0
"12",0.636,0,0,0,0,1,0
"13",0.756,0,1,0,0,0,0
"14",0.36,0,0,0,1,0,0
"15",0.628,0,0,0,0,1,0
"16",0.108,0,0,0,0,1,0
"17",0.916,0,1,0,0,0,0
"18",0.264,0,1,0,0,0,0
"19",0.104,0,0,0,0,1,0
"20",0.96,0,1,0,0,0,0
"21",0.504,0,0,0,0,1,0
"22",0.704,0,0,0,0,1,0
"23",0.556,0,1,0,0,0,0
"24",0.108,0,1,0,0,0,0
"25",0.432,0,0,0,0,1,0
"26",0.76,0,0,0,0,1,0
"27",0.272,0,0,0,0,1,0
"28",0.404,0,0,0,0,1,0
"29",0.508,0,1,0,0,0,0
"30",0.708,0,1,0,0,0,0
"31",0.94,0,0,1,0,0,0
"32",0.256,0,0,1,0,0,0
"33",0.832,0,0,1,0,0,0
"34",0.932,0,1,0,0,0,0
"35",0.752,0,0,0,1,0,0
"36",0.832,0,0,1,0,0,0
"37",0.492,0,0,0,0,1,0
"38",0.572,0,0,1,0,0,0
"39",0.756,1,0,0,0,0,0
"40",0.744,0,0,0,1,0,0
"41",0.78,0,1,0,0,0,0
"42",0.572,0,0,0,0,1,0
"43",0.372,0,1,0,0,0,0
"44",0.00800000000000001,0,0,0,0,1,0
"45",0.556,0,0,0,1,0,0
"46",0.02,0,0,0,0,1,1
"47",0.792,1,0,0,0,0,0
"48",0.104,0,0,0,0,1,0
"49",0.96,0,0,0,0,1,0
"50",0.74,0,0,0,0,1,0
"51",0.932,0,0,0,0,1,0
"52",0.572,0,0,0,0,1,0
"53",0.924,0,0,0,0,1,0
"54",0.824,0,0,0,0,1,0
"55",0.296,0,0,0,0,1,0
"56",0.98,0,1,0,0,0,0
"57",0.612,0,1,0,0,0,0
"58",0.78,0,1,0,0,0,0
"59",0.756,0,0,0,1,0,0
"60",0.092,0,0,1,0,0,0
"61",0.236,0,0,0,0,1,0
"62",0.564,0,0,0,0,1,0
"63",0.816,0,1,0,0,0,0
"64",0.632,0,0,0,0,1,0
"65",0.248,0,0,1,0,0,0
"66",0.264,0,0,0,0,1,0
"67",0.396,0,1,0,0,0,0
"68",0.324,0,0,0,0,1,0
"69",0.364,0,1,0,0,0,0
"70",0.844,1,0,0,0,0,0
"71",0.952,0,0,1,0,0,0
"72",0.464,0,0,0,0,1,0
"73",0.704,0,1,0,0,0,0
"74",0.396,0,1,0,0,0,0
"75",0.96,0,1,0,0,0,0
"76",0.944,0,0,0,1,0,0
"77",0.948,0,0,1,0,0,0
"78",0.056,0,0,0,0,1,0
"79",0.092,0,0,0,0,1,0
"80",0.22,0,0,0,0,1,0
"81",0.896,0,1,0,0,0,0
"82",0.224,0,0,1,0,0,0
"83",0.5,0,0,0,0,1,0
"84",1,0,0,0,0,1,0
"85",0.984,0,1,0,0,0,0
"86",0.712,0,1,0,0,0,0
"87",0.444,0,0,0,0,1,0
"88",0.42,0,0,0,1,0,0
"89",0.916,0,0,1,0,0,0
"90",0.204,0,0,0,0,1,0
"91",0.156,0,0,0,0,1,0
"92",0.464,0,0,0,1,0,0
"93",0.768,0,0,0,0,1,0
"94",0.168,0,0,0,0,1,0
"95",0.84,0,0,1,0,0,0
"96",0.28,0,0,0,0,1,0
"97",0.316,0,1,0,0,0,0
"98",0.26,0,1,0,0,0,0
"99",0.124,0,0,0,1,0,0
"100",0.14,0,0,0,0,1,0
"101",0.888,0,1,0,0,0,0
"102",0.376,0,0,0,0,1,0
"103",0.42,0,0,0,0,1,0
"104",0.82,0,0,0,0,1,0
"105",0.388,0,0,0,0,1,0
"106",0.26,0,1,0,0,0,0
"107",0.332,0,0,1,0,0,0
"108",0.62,0,0,0,0,1,0
"109",0.216,0,1,0,0,0,0
"110",0.84,0,0,0,0,1,0
"111",0.532,0,0,0,0,1,0
"112",0.928,0,0,0,0,1,0
"113",0.28,0,0,1,0,0,0
"114",0.328,0,0,1,0,0,0
"115",0.456,0,0,0,0,1,0
"116",0.244,0,0,0,0,1,0
"117",0.412,0,1,0,0,0,0
"118",0.116,0,0,0,1,0,0
"119",0.848,0,0,0,1,0,0
"120",0.48,0,0,0,0,1,0
"121",0.776,0,0,0,0,1,0
"122",0.568,0,0,0,0,1,0
"123",0.152,0,0,0,0,1,0
"124",0.16,0,0,0,1,0,0
"125",0.952,0,0,0,0,1,0
"126",0.0600000000000001,0,0,0,0,1,1
"127",0.248,0,0,0,0,1,0
"128",0.684,0,1,0,0,0,0
"129",0.872,0,0,1,0,0,0
"130",0.96,0,0,1,0,0,0
"131",0.112,0,0,0,1,0,0
"132",0.012,0,1,0,0,0,1
"133",0.096,0,0,0,0,1,0
"134",0.004,0,0,0,0,1,1
"135",0.732,0,0,1,0,0,0
"136",0.752,0,1,0,0,0,0
"137",0.00800000000000001,0,0,0,0,1,0
"138",0.016,0,0,0,0,1,1
"139",0.332,0,0,0,1,0,0
"140",0.172,0,0,0,0,1,0
"141",0.292,0,0,0,0,1,0
"142",0.276,0,0,0,0,1,0
"143",0.476,0,0,0,0,1,0
"144",0.56,0,0,0,1,0,0
"145",0.356,0,0,0,0,1,0
"146",0.788,0,0,0,0,1,0
"147",0.1,0,0,0,0,1,0
"148",0.62,0,0,0,0,1,0
"149",0.96,0,0,1,0,0,0
"150",0.264,0,0,1,0,0,0
"151",0.752,0,0,0,0,1,0
"152",0.18,0,0,0,0,1,0
"153",0.656,0,0,0,0,1,0
"154",0.148,0,0,0,0,1,0
"155",0.268,0,0,0,0,1,0
"156",0.32,0,1,0,0,0,0
"157",0.336,0,0,1,0,0,0
"158",0.988,0,1,0,0,0,0
"159",0.012,0,0,0,0,1,0
"160",0.344,0,0,0,0,1,0
"161",0.172,0,0,0,0,1,0
"162",0.192,0,0,0,0,1,0
"163",0.352,0,0,0,0,1,0
"164",0.084,0,1,0,0,0,0
"165",0.532,0,0,0,0,1,0
"166",0.368,0,0,0,0,1,0
"167",0.48,0,0,0,0,1,0
"168",0.28,0,0,0,0,1,0
"169",0.088,0,1,0,0,0,0
"170",0.672,0,0,0,1,0,0
"171",0.672,0,0,1,0,0,0
"172",0.324,0,0,0,0,1,0
"173",0.936,0,0,0,0,1,0
"174",0.448,0,0,0,0,1,0
"175",0.564,0,0,0,0,1,0
"176",0.32,0,0,0,0,1,0
"177",0.916,0,0,0,0,1,0
"178",0.568,0,1,0,0,0,0
"179",0.588,0,0,0,0,1,0
"180",0.616,0,0,0,0,1,0
"181",0.204,0,0,0,0,1,0
"182",0.564,0,0,0,0,1,0
"183",0.716,0,0,0,1,0,0
"184",0.44,0,0,0,0,1,0
"185",0.36,0,0,0,0,1,0
"186",0.448,0,0,1,0,0,0
"187",0.256,0,1,0,0,0,0
"188",0.396,0,0,0,0,1,0
"189",0.848,0,0,0,0,1,0
"190",0.692,0,0,0,0,1,0
"191",0.992,1,0,0,0,0,0
"192",0.384,0,0,0,0,1,0
"193",0.532,0,0,0,0,1,0
"194",0.852,0,0,0,0,1,0
"195",0.452,0,0,0,0,1,0
"196",0.652,0,0,0,0,1,0
"197",0.448,1,0,0,0,0,0
"198",0.544,0,0,0,1,0,0
"199",0.744,0,0,0,0,1,0
"200",0.404,0,0,0,0,1,0
"201",0.368,0,1,0,0,0,0
"202",0.296,0,0,0,0,1,0
"203",0.484,0,0,0,0,1,0
"204",0.9,0,0,1,0,0,0
