"","","","bonf_res"
"1",0.836,0.836,0
"2",0.4675,0.4675,0
"3",0.2805,0.2805,0
"4",0.3785,0.3785,0
"5",0.0015,0.0015,1
"6",0.601,0.601,0
"7",0.549,0.549,0
"8",0.3615,0.3615,0
"9",0.3575,0.3575,0
"10",0.6915,0.6915,0
"11",0.018,0.018,0
"12",0.642,0.642,0
"13",0.3445,0.3445,0
"14",0.942,0.942,0
"15",0.36,0.36,0
"16",0.7745,0.7745,0
"17",0.233,0.233,0
"18",0.6875,0.6875,0
"19",0.613,0.613,0
"20",0.4065,0.4065,0
"21",0.856,0.856,0
"22",0.292,0.292,0
"23",0.6855,0.6855,0
"24",0.103,0.103,0
"25",0.348,0.348,0
"26",0.2135,0.2135,0
"27",0.6035,0.6035,0
"28",0.3095,0.3095,0
"29",0.321,0.321,0
"30",0.124,0.124,0
"31",0.2705,0.2705,0
"32",0.799,0.799,0
"33",0.812,0.812,0
"34",0.595,0.595,0
"35",0.1105,0.1105,0
"36",0.052,0.052,0
"37",0.4905,0.4905,0
"38",0.046,0.046,0
"39",0.3965,0.3965,0
"40",0.2015,0.2015,0
"41",0.215,0.215,0
"42",0.2655,0.2655,0
"43",0.244,0.244,0
"44",0.0365,0.0365,0
"45",0.009,0.009,1
"46",0.8875,0.8875,0
"47",0.818,0.818,0
"48",0.4445,0.4445,0
"49",0.506,0.506,0
"50",0.5525,0.5525,0
"51",0.5865,0.5865,0
"52",0.3645,0.3645,0
"53",0.879,0.879,0
"54",0.5305,0.5305,0
"55",0.124,0.124,0
"56",0.1335,0.1335,0
"57",0.1175,0.1175,0
"58",0.347,0.347,0
"59",0.349,0.349,0
"60",0.8995,0.8995,0
"61",0.0705,0.0705,0
"62",0.938,0.938,0
"63",0.244,0.244,0
"64",0.091,0.091,0
"65",0.0115,0.0115,1
"66",0.1895,0.1895,0
"67",0.8665,0.8665,0
"68",0.7645,0.7645,0
"69",0.2205,0.2205,0
"70",0.757,0.757,0
"71",0.012,0.012,1
"72",0.048,0.048,0
"73",0.24,0.24,0
"74",0.7485,0.7485,0
"75",0.124,0.124,0
"76",0.144,0.144,0
"77",0.213,0.213,0
"78",0.6415,0.6415,0
"79",0.451,0.451,0
"80",0.369,0.369,0
"81",0.048,0.048,0
"82",0.88,0.88,0
"83",0.4055,0.4055,0
"84",0.413,0.413,0
"85",0.129,0.129,0
"86",0.0045,0.0045,1
"87",0.906,0.906,0
"88",0.153,0.153,0
"89",0.822,0.822,0
"90",0.724,0.724,0
"91",0.048,0.048,0
"92",0.487,0.487,0
"93",0.0365,0.0365,1
"94",0.1505,0.1505,0
"95",0.7565,0.7565,0
"96",0.095,0.095,0
"97",0.128,0.128,0
"98",0.393,0.393,0
"99",0.7755,0.7755,0
"100",0.308,0.308,0
"101",0.3835,0.3835,0
"102",0.331,0.331,0
"103",0.9515,0.9515,0
"104",0.864,0.864,0
"105",0.987,0.987,0
"106",0.558,0.558,0
"107",0.0705,0.0705,0
"108",0.051,0.051,0
"109",0.3955,0.3955,0
"110",0.7595,0.7595,0
"111",0.255,0.255,0
"112",0.8445,0.8445,0
"113",0.0565,0.0565,0
"114",0.4605,0.4605,0
"115",0.642,0.642,0
"116",0.6955,0.6955,0
"117",0.144,0.144,0
"118",0.2285,0.2285,0
"119",0.077,0.077,0
"120",0.717,0.717,0
"121",0.0905,0.0905,0
"122",0.8545,0.8545,0
"123",0.268,0.268,0
"124",0.68,0.68,0
"125",0.588,0.588,0
"126",0.038,0.038,1
"127",0.745,0.745,0
"128",0.881,0.881,0
"129",0.296,0.296,0
"130",0.689,0.689,0
"131",0.4585,0.4585,0
"132",0.3975,0.3975,0
"133",0.0865,0.0865,0
"134",0.557,0.557,0
"135",0.257,0.257,0
"136",0.4235,0.4235,0
"137",0.624,0.624,0
"138",0.145,0.145,0
"139",0.5585,0.5585,0
"140",0.305,0.305,0
"141",0.0585,0.0585,0
"142",0.5245,0.5245,0
"143",0.2355,0.2355,0
"144",0.2255,0.2255,0
"145",0.35,0.35,0
"146",0.9095,0.9095,0
"147",0.0415,0.0415,0
"148",0.524,0.524,0
"149",0.518,0.518,0
"150",0.2015,0.2015,0
"151",0.0115,0.0115,1
"152",0.082,0.082,0
"153",0.5335,0.5335,0
"154",0.021,0.021,1
"155",0.7495,0.7495,0
"156",0.286,0.286,0
"157",0.432,0.432,0
"158",0.027,0.027,1
"159",0.463,0.463,0
"160",0.564,0.564,0
"161",0.828,0.828,0
"162",0.6125,0.6125,0
"163",0.12,0.12,0
"164",0.061,0.061,0
"165",0.2745,0.2745,0
"166",0.917,0.917,0
"167",0.6595,0.6595,0
"168",0.2505,0.2505,0
"169",0.2,0.2,0
"170",0.451,0.451,0
"171",0.4515,0.4515,0
"172",0.59,0.59,0
"173",0.7165,0.7165,0
"174",0.4605,0.4605,0
"175",0.2105,0.2105,0
"176",0.092,0.092,0
"177",0.2835,0.2835,0
"178",0.232,0.232,0
"179",0.3385,0.3385,0
"180",0.9395,0.9395,0
"181",0.9695,0.9695,0
"182",0.4125,0.4125,0
"183",0.8875,0.8875,0
"184",0.014,0.014,1
"185",0.816,0.816,0
"186",0.4595,0.4595,0
"187",0.8265,0.8265,0
"188",0.4515,0.4515,0
"189",0.495,0.495,0
"190",0.9965,0.9965,0
"191",0.2195,0.2195,0
"192",0.3895,0.3895,0
"193",0.791,0.791,0
"194",0.4365,0.4365,0
"195",0.0575,0.0575,0
"196",0.214,0.214,0
"197",0.284,0.284,0
"198",0.289,0.289,0
"199",0.5985,0.5985,0
"200",0.1145,0.1145,0
"201",0.203,0.203,0
"202",0.8015,0.8015,0
"203",0.0075,0.0075,1
"204",0.427,0.427,0
"205",0.7945,0.7945,0
"206",0.538,0.538,0
"207",0.006,0.006,1
"208",0.869,0.869,0
"209",0.515,0.515,0
"210",0.714,0.714,0
"211",0.0675,0.0675,0
"212",0.3785,0.3785,0
"213",0.128,0.128,0
"214",0.299,0.299,0
"215",0.833,0.833,0
"216",0.237,0.237,0
"217",0.138,0.138,0
"218",0.7505,0.7505,0
"219",0.754,0.754,0
"220",0.9725,0.9725,0
"221",0.7825,0.7825,0
"222",0.8075,0.8075,0
"223",0.774,0.774,0
"224",0.4245,0.4245,0
"225",0.7465,0.7465,0
"226",0.4085,0.4085,0
"227",0.7305,0.7305,0
"228",0.482,0.482,0
"229",0.737,0.737,0
"230",0.097,0.097,0
"231",0.447,0.447,0
"232",0.063,0.063,0
"233",0.456,0.456,0
"234",0.013,0.013,0
"235",0.0705,0.0705,0
