"","","","","","","","","bonf_res"
"1",0.848,1,0,0,0,0,0,0
"2",0.052,0,1,0,0,0,0,0
"3",0.536,0,1,0,0,0,0,0
"4",0.26,1,0,0,0,0,0,0
"5",0.232,0,0,0,0,1,0,0
"6",0.036,0,0,0,0,1,0,0
"7",0.996,0,0,1,0,0,0,0
"8",0.084,0,0,0,1,0,0,0
"9",0.772,0,0,0,1,0,0,0
"10",0.66,0,0,1,0,0,0,0
"11",0.372,0,0,0,0,0,1,0
"12",0.94,0,1,0,0,0,0,0
"13",0.356,1,0,0,0,0,0,0
"14",0.432,1,0,0,0,0,0,0
"15",0.048,1,0,0,0,0,0,0
"16",0.724,1,0,0,0,0,0,0
"17",0.568,1,0,0,0,0,0,0
"18",0.14,1,0,0,0,0,0,0
"19",0.256,0,1,0,0,0,0,0
"20",0.332,1,0,0,0,0,0,0
"21",0.36,0,1,0,0,0,0,0
"22",0.256,0,0,1,0,0,0,0
"23",0.452,0,1,0,0,0,0,0
"24",0.72,0,1,0,0,0,0,0
"25",0.82,1,0,0,0,0,0,0
"26",0.84,1,0,0,0,0,0,0
"27",0.288,0,0,1,0,0,0,0
"28",0.4,0,0,1,0,0,0,0
"29",0.508,0,1,0,0,0,0,0
"30",0.18,0,0,0,1,0,0,0
"31",0.836,0,0,0,1,0,0,0
"32",0.392,1,0,0,0,0,0,0
"33",0.172,0,1,0,0,0,0,0
"34",0.116,0,1,0,0,0,0,1
"35",0.796,1,0,0,0,0,0,0
"36",0.932,0,1,0,0,0,0,0
"37",0.176,0,1,0,0,0,0,0
"38",0.932,1,0,0,0,0,0,0
"39",0.352,0,1,0,0,0,0,0
"40",0.372,0,0,0,0,1,0,0
"41",0.26,0,0,1,0,0,0,0
"42",0.708,0,1,0,0,0,0,0
"43",0.852,0,0,1,0,0,0,0
"44",0.748,0,1,0,0,0,0,0
"45",0.224,0,0,1,0,0,0,0
"46",0.108,0,0,1,0,0,0,0
"47",0.248,1,0,0,0,0,0,0
"48",0.424,0,1,0,0,0,0,0
"49",0.0679999999999999,0,1,0,0,0,0,0
"50",0.376,0,1,0,0,0,0,0
"51",0.108,0,1,0,0,0,0,0
"52",0.508,0,0,1,0,0,0,0
