"","","","bonf_res"
"1",0.148,1,1
"2",0.012,1,1
"3",0.832,1,0
"4",0.944,1,0
"5",0.044,1,0
"6",0.004,1,1
"7",0.464,1,0
"8",0.272,1,0
"9",0.0639999999999999,1,0
"10",0.004,1,1
"11",0.42,1,0
"12",0.68,1,0
"13",0.904,1,0
"14",0.272,1,0
"15",0.84,1,0
"16",0.1,1,0
"17",0.672,1,0
"18",0.256,1,0
"19",0.332,1,0
"20",0.864,1,0
"21",0.736,1,0
"22",0.12,1,0
"23",0.004,1,1
"24",0.54,1,0
"25",0.328,1,0
"26",0,1,1
"27",0.028,1,1
"28",0.176,1,0
"29",0.372,1,0
"30",0.392,1,0
"31",0.012,1,1
"32",0.712,1,0
"33",0.252,1,0
"34",0.088,1,0
"35",0.204,1,0
"36",0.444,1,0
"37",0.136,1,0
"38",0.392,1,0
"39",0.016,1,0
"40",0.768,1,0
"41",0.832,1,0
"42",0.0679999999999999,1,1
"43",0.624,1,0
"44",0.328,1,0
"45",0.352,1,0
"46",0.02,1,0
"47",0.032,1,1
"48",0.12,1,0
"49",0.624,1,0
"50",0.136,1,0
"51",0.592,1,0
"52",0.08,1,0
"53",0.168,1,0
"54",0.148,1,0
"55",0.384,1,0
"56",0.112,1,0
"57",0.328,1,0
"58",0.512,1,0
"59",0.212,1,0
"60",0.24,1,0
"61",0.296,1,0
"62",0.236,1,0
"63",0.824,1,0
"64",0.02,1,1
"65",0.224,1,0
"66",0.376,1,0
"67",0.624,1,0
"68",0.188,1,0
"69",0.328,1,0
"70",0.636,1,0
"71",0,1,1
"72",0.052,1,0
"73",0.476,1,0
"74",0.56,1,0
"75",0.376,1,0
"76",0.128,1,0
"77",0.368,1,0
"78",0.176,1,0
"79",0.096,1,0
"80",0.204,1,0
"81",0.632,1,0
"82",0.6,1,0
"83",0.604,1,0
"84",0.432,1,0
"85",0.34,1,0
"86",0.08,1,1
"87",0.708,1,0
"88",0.02,1,1
"89",0.148,1,0
"90",0.272,1,0
"91",0.288,1,0
"92",0.26,1,0
"93",0.204,1,0
"94",0.368,1,0
"95",0.92,1,0
"96",0.54,1,0
"97",0.16,1,0
