"","","","bonf_res"
"230",0.492,0.492,0
"231",0.6295,0.6295,0
"232",0.003,0.003,1
"233",0.064,0.064,0
"234",0.09,0.09,0
"235",0.308,0.308,0
"236",0.882,0.882,0
"237",0.687,0.687,0
"238",0.9425,0.9425,0
"239",0.2355,0.2355,0
"240",0.516,0.516,0
"241",0.6335,0.6335,0
"242",0.3785,0.3785,0
"243",0.5655,0.5655,0
"244",0.365,0.365,0
"245",0.0205,0.0205,1
"246",0.9355,0.9355,0
"247",0.2255,0.2255,0
"248",0.2835,0.2835,0
"249",0.5685,0.5685,0
"250",0.8565,0.8565,0
"251",0.648,0.648,0
"252",0.53,0.53,0
"253",0.46,0.46,0
"254",0.472,0.472,0
"255",0.68,0.68,0
"256",0.956,0.956,0
"257",0.674,0.674,0
"258",0.745,0.745,0
"259",0.7455,0.7455,0
"260",0.7235,0.7235,0
"261",0.457,0.457,0
"262",0.6025,0.6025,0
"263",0.5715,0.5715,0
"264",0.1025,0.1025,0
"265",0.0155,0.0155,1
"266",0.5785,0.5785,0
"267",0.2235,0.2235,0
"268",0.2655,0.2655,0
"269",0.3785,0.3785,0
"270",0.924,0.924,0
"271",0.969,0.969,0
"272",0.3875,0.3875,0
"273",0.765,0.765,0
"274",0.297,0.297,0
"275",0.011,0.011,1
"276",0.2385,0.2385,0
"277",0.0405,0.0405,1
"278",0.029,0.029,1
"279",0.515,0.515,0
"280",0.7435,0.7435,0
"281",0.7185,0.7185,0
"282",0.517,0.517,0
"283",0.0575,0.0575,0
"284",0.46,0.46,0
"285",0.6735,0.6735,0
"286",0.275,0.275,0
"287",0.1875,0.1875,0
"288",0.127,0.127,0
"289",0.0735,0.0735,0
"290",0.583,0.583,0
"291",0.983,0.983,0
"292",0.5765,0.5765,0
"293",0.827,0.827,0
"294",0.316,0.316,0
"295",0.949,0.949,0
"296",0.8385,0.8385,0
"297",0.4585,0.4585,0
"298",0.3635,0.3635,0
"299",0.8425,0.8425,0
"300",0.2055,0.2055,0
"301",0.736,0.736,0
"302",0.5805,0.5805,0
"303",0.825,0.825,0
"304",0.765,0.765,0
"305",0.0155,0.0155,1
"306",0.59,0.59,0
"307",0.252,0.252,0
"308",0.0315,0.0315,0
"309",0.7315,0.7315,0
"310",0.231,0.231,0
"311",0.871,0.871,0
"312",0.2485,0.2485,0
"313",0.9275,0.9275,0
"314",0.3215,0.3215,0
"315",0.75,0.75,0
"316",0.7405,0.7405,0
"317",0.25,0.25,0
"318",0.517,0.517,0
"319",0.759,0.759,0
"320",0.122,0.122,0
"321",0.273,0.273,0
"322",0.9645,0.9645,0
"323",0.947,0.947,0
"324",0.095,0.095,0
"325",0.7475,0.7475,0
"326",0.0925,0.0925,0
"327",0.2455,0.2455,0
"328",0.6765,0.6765,0
"329",0.021,0.021,1
"330",0.0905,0.0905,0
"331",0.256,0.256,0
"332",0.239,0.239,0
"333",0.9385,0.9385,0
"334",0.98,0.98,0
"335",0.8605,0.8605,0
"336",0.491,0.491,0
"337",0.9775,0.9775,0
"338",0.9915,0.9915,0
"339",0.087,0.087,0
"340",0.182,0.182,0
"341",0.1595,0.1595,0
"342",0.245,0.245,0
"343",0.824,0.824,0
"344",0.8025,0.8025,0
"345",0.8575,0.8575,0
"346",0.644,0.644,0
"347",0.7465,0.7465,0
"348",0.9735,0.9735,0
"349",0.818,0.818,0
"350",0.5085,0.5085,0
"351",0.0395,0.0395,0
"352",0.189,0.189,0
"353",0.557,0.557,0
"354",0.8275,0.8275,0
"355",0.7495,0.7495,0
"356",0.4325,0.4325,0
"357",0.32,0.32,0
"358",0.899,0.899,0
"359",0.639,0.639,0
"360",0.774,0.774,0
"361",0.1185,0.1185,0
"362",0.171,0.171,0
"363",0.0465,0.0465,0
"364",0.677,0.677,0
"365",0.8765,0.8765,0
"366",0.87,0.87,0
"367",0.6095,0.6095,0
"368",0.2725,0.2725,0
"369",0.1855,0.1855,0
"370",0.702,0.702,0
"371",0.3725,0.3725,0
"372",0.357,0.357,0
"373",0.4735,0.4735,0
"374",0.1115,0.1115,0
"375",0.708,0.708,0
"376",0.589,0.589,0
"377",0.7875,0.7875,0
"378",0.3635,0.3635,0
"379",0.717,0.717,0
"380",0.4785,0.4785,0
"381",0.243,0.243,0
"382",0.7235,0.7235,0
"383",0.9595,0.9595,0
"384",0.4555,0.4555,0
"385",0.049,0.049,0
"386",0.611,0.611,0
"387",0.0865,0.0865,0
"388",0.842,0.842,0
"389",0.8835,0.8835,0
