"","","","","","","","","bonf_res"
"1",0.36,0,0,0,0,1,0,0
"2",0.912,0,1,0,0,0,0,0
"3",0.564,1,0,0,0,0,0,0
"4",0.836,0,1,0,0,0,0,0
"5",0.82,0,1,0,0,0,0,0
"6",0.944,0,1,0,0,0,0,0
"7",0.228,0,0,0,1,0,0,0
"8",0.228,1,0,0,0,0,0,0
"9",0.192,1,0,0,0,0,0,0
"10",0.192,0,1,0,0,0,0,0
"11",0.324,0,1,0,0,0,0,0
"12",0.732,1,0,0,0,0,0,0
"13",0.62,1,0,0,0,0,0,0
"14",0.664,0,0,0,1,0,0,0
"15",0.468,0,1,0,0,0,0,0
"16",0.384,0,0,0,0,1,0,0
"17",0.496,0,0,1,0,0,0,0
"18",0.08,0,1,0,0,0,0,0
"19",0.752,0,1,0,0,0,0,0
"20",0.12,0,0,1,0,0,0,0
"21",0.816,0,0,1,0,0,0,0
"22",0.256,0,0,0,0,1,0,0
"23",0.028,0,1,0,0,0,0,1
"24",0.02,0,1,0,0,0,0,0
"25",0.896,0,0,0,1,0,0,0
"26",0.436,1,0,0,0,0,0,0
"27",0.976,0,1,0,0,0,0,0
"28",0.372,0,0,0,0,1,0,0
"29",0.98,0,0,1,0,0,0,0
"30",0.004,0,1,0,0,0,0,1
"31",0.308,0,1,0,0,0,0,0
"32",0.316,0,1,0,0,0,0,0
"33",0.212,0,1,0,0,0,0,0
"34",0.164,0,1,0,0,0,0,0
"35",0.932,0,0,1,0,0,0,0
"36",0.808,0,1,0,0,0,0,0
"37",0.58,0,0,0,0,1,0,0
"38",0.188,0,0,1,0,0,0,0
"39",0.0600000000000001,1,0,0,0,0,0,0
"40",0.612,0,1,0,0,0,0,0
"41",0.932,0,1,0,0,0,0,0
"42",0.108,0,0,1,0,0,0,0
"43",0.724,0,1,0,0,0,0,0
"44",0.024,1,0,0,0,0,0,0
"45",0.32,0,1,0,0,0,0,0
"46",0.7,0,0,0,1,0,0,0
"47",0.46,0,0,1,0,0,0,0
"48",0.448,0,0,1,0,0,0,0
"49",0.648,0,1,0,0,0,0,0
"50",0.812,1,0,0,0,0,0,0
"51",0.396,1,0,0,0,0,0,0
"52",0.244,0,1,0,0,0,0,0
"53",0.536,0,1,0,0,0,0,0
"54",0.816,0,1,0,0,0,0,0
"55",0.592,0,1,0,0,0,0,0
"56",0.608,1,0,0,0,0,0,0
"57",0.044,0,0,0,0,0,1,0
"58",0.86,0,1,0,0,0,0,0
"59",0.956,1,0,0,0,0,0,0
"60",0.684,0,1,0,0,0,0,0
"61",0.492,0,1,0,0,0,0,0
"62",0.0600000000000001,0,1,0,0,0,0,0
"63",0.004,0,0,0,0,1,0,1
"64",0.64,0,1,0,0,0,0,0
"65",0.996,0,1,0,0,0,0,0
"66",0.492,1,0,0,0,0,0,0
"67",0.548,0,1,0,0,0,0,0
"68",0.236,1,0,0,0,0,0,0
"69",0.26,0,0,0,0,0,1,0
"70",0.68,0,1,0,0,0,0,0
"71",0.524,1,0,0,0,0,0,0
"72",0.184,0,0,1,0,0,0,0
"73",0.036,0,1,0,0,0,0,1
"74",0.364,0,1,0,0,0,0,0
"75",0.616,0,1,0,0,0,0,0
"76",0.344,0,1,0,0,0,0,0
"77",0.564,0,0,1,0,0,0,0
"78",0.516,0,1,0,0,0,0,0
"79",0.62,1,0,0,0,0,0,0
"80",0.608,0,1,0,0,0,0,0
"81",0.384,0,0,0,1,0,0,0
"82",0.56,0,1,0,0,0,0,0
"83",0.34,0,1,0,0,0,0,0
"84",0.096,0,0,0,1,0,0,0
"85",1,0,0,1,0,0,0,0
"86",0.352,0,0,1,0,0,0,0
"87",0.16,1,0,0,0,0,0,0
"88",0.684,0,1,0,0,0,0,0
"89",0.748,0,1,0,0,0,0,0
"90",0.348,0,1,0,0,0,0,0
"91",0.104,0,0,0,1,0,0,0
"92",0.172,1,0,0,0,0,0,0
"93",0.252,0,1,0,0,0,0,0
"94",0.544,0,1,0,0,0,0,0
"95",0.348,0,1,0,0,0,0,0
"96",0.88,0,0,0,0,1,0,0
"97",0.924,0,1,0,0,0,0,0
"98",0.472,0,0,1,0,0,0,0
"99",0.052,0,0,0,1,0,0,1
"100",0.436,0,0,1,0,0,0,0
"101",0.568,1,0,0,0,0,0,0
"102",0.676,0,1,0,0,0,0,0
"103",0.096,0,0,1,0,0,0,0
"104",0.896,0,0,1,0,0,0,0
"105",0.82,0,1,0,0,0,0,0
"106",0.488,0,1,0,0,0,0,0
"107",0.452,1,0,0,0,0,0,0
"108",0.524,0,1,0,0,0,0,0
"109",0.124,0,1,0,0,0,0,0
"110",0.332,0,1,0,0,0,0,0
"111",0.16,0,0,1,0,0,0,0
"112",0.22,0,0,1,0,0,0,0
"113",0.292,0,1,0,0,0,0,0
"114",0.848,0,0,1,0,0,0,0
"115",0.272,0,0,0,0,0,1,0
"116",0.164,0,0,0,1,0,0,0
"117",0.04,0,1,0,0,0,0,0
"118",0.108,0,1,0,0,0,0,0
"119",0.816,0,1,0,0,0,0,0
"120",0.044,0,1,0,0,0,0,0
"121",0.636,0,1,0,0,0,0,0
"122",0.188,0,1,0,0,0,0,0
"123",0.476,1,0,0,0,0,0,0
"124",0.496,1,0,0,0,0,0,0
"125",0.036,1,0,0,0,0,0,1
"126",0.944,0,1,0,0,0,0,0
"127",0.08,0,1,0,0,0,0,0
"128",0.648,0,0,0,1,0,0,0
"129",0.688,0,0,1,0,0,0,0
"130",0.904,0,1,0,0,0,0,0
"131",0.604,0,1,0,0,0,0,0
"132",0.464,1,0,0,0,0,0,0
"133",0.804,0,0,1,0,0,0,0
"134",0.612,1,0,0,0,0,0,0
"135",0.204,0,0,0,0,0,1,0
"136",0.1,0,1,0,0,0,0,0
"137",0.156,1,0,0,0,0,0,0
"138",0.488,0,1,0,0,0,0,0
"139",0.192,1,0,0,0,0,0,0
"140",0.532,0,0,1,0,0,0,0
"141",0.076,0,0,0,0,1,0,0
"142",0.032,1,0,0,0,0,0,1
"143",0.42,0,1,0,0,0,0,0
"144",0.424,1,0,0,0,0,0,0
"145",0.108,1,0,0,0,0,0,0
"146",0.812,0,1,0,0,0,0,0
"147",0.136,0,0,0,1,0,0,0
"148",0.26,0,1,0,0,0,0,0
"149",0.556,0,1,0,0,0,0,0
"150",0.22,1,0,0,0,0,0,0
"151",0.332,0,1,0,0,0,0,0
"152",0.544,0,0,0,1,0,0,0
"153",0.24,0,1,0,0,0,0,0
"154",0.048,0,1,0,0,0,0,0
"155",0.02,0,0,1,0,0,0,0
"156",0.644,0,1,0,0,0,0,0
"157",0.828,0,0,0,0,1,0,0
"158",0.408,0,0,1,0,0,0,0
"159",0.564,0,1,0,0,0,0,0
"160",0.976,0,1,0,0,0,0,0
"161",0.28,1,0,0,0,0,0,0
"162",0.884,0,1,0,0,0,0,0
"163",0.564,0,0,1,0,0,0,0
"164",0.556,1,0,0,0,0,0,0
"165",0.168,0,0,1,0,0,0,0
"166",0.36,0,1,0,0,0,0,0
"167",0.728,0,0,0,1,0,0,0
"168",0.22,1,0,0,0,0,0,0
"169",0.296,0,1,0,0,0,0,0
"170",0.228,1,0,0,0,0,0,0
"171",0.184,0,1,0,0,0,0,0
"172",0.712,0,1,0,0,0,0,0
"173",0.704,0,0,0,0,1,0,0
"174",0.492,0,1,0,0,0,0,0
"175",0.56,0,0,1,0,0,0,0
"176",0.612,0,0,1,0,0,0,0
"177",0.308,1,0,0,0,0,0,0
"178",0.796,0,1,0,0,0,0,0
"179",0.82,0,1,0,0,0,0,0
"180",0.988,0,0,0,0,1,0,0
"181",0.308,0,0,1,0,0,0,0
"182",0.624,1,0,0,0,0,0,0
"183",0.868,0,0,0,1,0,0,0
"184",0.488,1,0,0,0,0,0,0
"185",0.472,0,1,0,0,0,0,0
"186",0.824,0,0,1,0,0,0,0
"187",0.472,0,1,0,0,0,0,0
"188",0.596,0,1,0,0,0,0,0
"189",0.52,0,0,0,0,1,0,0
"190",0.228,1,0,0,0,0,0,0
"191",0.98,0,1,0,0,0,0,0
"192",0.712,0,1,0,0,0,0,0
"193",0.66,0,1,0,0,0,0,0
"194",0.848,1,0,0,0,0,0,0
"195",0.912,1,0,0,0,0,0,0
"196",0.2,0,1,0,0,0,0,0
"197",0.816,0,1,0,0,0,0,0
