"","","","","","","","bonf_res"
"1",0.956,0,0,0,1,0,0
"2",0.804,0,0,1,0,0,0
"3",0.1,0,1,0,0,0,0
"4",0.952,0,0,1,0,0,0
"5",0,0,0,0,1,0,0
"6",0.42,0,0,0,0,1,0
"7",0.0600000000000001,0,0,0,0,1,0
"8",0.784,0,0,0,1,0,0
"9",0.304,0,0,0,0,1,0
"10",0.224,0,0,1,0,0,0
"11",0.532,0,0,1,0,0,0
"12",0.892,0,0,0,1,0,0
"13",0.404,0,0,0,1,0,0
"14",0.228,0,0,0,1,0,0
"15",0.772,0,1,0,0,0,0
"16",0.08,0,0,0,1,0,0
"17",0.268,0,1,0,0,0,0
"18",0.956,0,0,0,1,0,0
"19",0.34,0,0,1,0,0,0
"20",0.104,0,0,0,0,1,0
"21",0.768,0,0,0,1,0,0
"22",0.384,0,1,0,0,0,0
"23",0.816,0,0,1,0,0,0
"24",0.548,0,0,0,0,1,0
"25",0.72,0,0,0,1,0,0
"26",0.636,0,0,0,0,1,0
"27",0.332,0,0,0,1,0,0
"28",0.724,0,0,0,0,1,0
"29",0.404,0,0,1,0,0,0
"30",0.964,0,0,0,0,1,0
"31",0.84,0,0,0,1,0,0
"32",0.516,0,0,1,0,0,0
"33",0.772,0,0,0,1,0,0
"34",0.98,0,0,0,0,1,0
"35",1,0,0,1,0,0,0
"36",0.12,0,0,0,0,1,0
"37",0.144,0,0,0,0,1,0
"38",0.072,0,0,0,0,1,0
"39",0.384,0,0,1,0,0,0
"40",0.668,0,0,0,1,0,0
"41",0.988,0,0,1,0,0,0
"42",0.228,0,0,0,1,0,0
"43",0.548,0,0,0,0,1,0
"44",0.212,0,0,1,0,0,0
"45",0.076,0,0,0,1,0,0
"46",0.948,0,0,1,0,0,0
"47",0.16,0,0,0,0,1,0
"48",0.528,0,0,0,0,1,0
"49",0.284,0,0,1,0,0,0
"50",0.372,0,0,0,1,0,0
"51",0.984,0,0,1,0,0,0
"52",0.26,0,0,0,1,0,0
"53",0.172,0,0,0,0,1,0
"54",0.052,0,0,0,0,1,0
"55",0.0600000000000001,0,0,1,0,0,1
"56",0.884,0,0,1,0,0,0
"57",0.572,0,0,0,1,0,0
"58",0.436,0,0,0,0,1,0
"59",0.952,0,0,0,1,0,0
"60",0.092,0,0,0,1,0,0
"61",0.812,0,0,1,0,0,0
"62",0.156,0,0,0,0,1,0
"63",0.584,0,0,0,0,1,0
"64",0.836,0,1,0,0,0,0
"65",0.016,0,0,0,0,1,0
"66",0.364,0,0,0,0,1,0
"67",0.564,0,0,1,0,0,0
"68",0.808,0,1,0,0,0,0
"69",0.516,0,1,0,0,0,0
"70",0.5,0,0,0,0,1,0
"71",0.956,0,0,1,0,0,0
"72",0.656,0,0,1,0,0,0
"73",0.476,0,0,1,0,0,0
"74",0.38,0,0,0,1,0,0
"75",0.252,0,0,0,0,1,0
"76",0.036,0,1,0,0,0,0
"77",0.232,0,1,0,0,0,0
"78",0.092,0,0,0,1,0,0
"79",0.244,0,0,1,0,0,0
"80",0.94,0,0,0,0,1,0
"81",0.104,0,0,0,1,0,1
"82",0.6,0,0,0,0,1,0
"83",0.88,0,0,1,0,0,0
"84",0.388,0,0,0,1,0,0
"85",0.716,0,0,0,0,1,0
"86",0.116,0,0,1,0,0,0
"87",0.192,0,0,0,1,0,0
"88",0.124,0,0,0,0,1,0
"89",0.216,0,1,0,0,0,0
"90",0.288,0,0,0,0,1,0
"91",0.572,0,0,0,1,0,0
"92",0.256,0,0,0,0,1,0
"93",0.72,0,0,0,1,0,0
"94",0.332,0,0,1,0,0,0
"95",0.484,0,0,1,0,0,0
"96",0.204,0,0,0,0,1,0
"97",0.164,0,0,0,0,1,0
"98",0.096,0,1,0,0,0,0
"99",0.784,0,0,1,0,0,0
"100",0.14,0,0,0,0,1,0
"101",0.916,0,0,1,0,0,0
"102",0.78,0,0,1,0,0,0
"103",0.072,0,0,0,0,1,0
"104",0.112,0,0,0,0,1,0
"105",0.94,0,0,0,1,0,0
"106",0.156,0,0,0,1,0,0
"107",0.288,0,0,1,0,0,0
"108",0.728,0,0,0,1,0,0
"109",0.436,0,0,0,0,1,0
"110",0.336,0,0,0,1,0,0
"111",0.86,0,0,1,0,0,0
"112",0.14,0,0,0,0,1,0
"113",0.508,0,1,0,0,0,0
"114",0.112,0,0,0,0,1,0
"115",0.096,0,0,1,0,0,0
"116",0.992,0,0,0,1,0,0
"117",0.5,0,0,0,0,1,0
"118",0.712,0,0,1,0,0,0
"119",0.0639999999999999,0,0,0,0,1,0
"120",0.952,0,0,0,1,0,0
"121",0.872,0,0,1,0,0,0
"122",0.932,0,0,1,0,0,0
"123",0.44,0,0,1,0,0,0
"124",0.872,0,1,0,0,0,0
"125",0.772,0,0,1,0,0,0
"126",0.408,0,0,0,0,1,0
"127",0.336,0,0,1,0,0,0
"128",0.48,0,0,0,0,1,0
"129",0.804,0,0,0,1,0,0
"130",0.712,0,0,1,0,0,0
"131",0.464,0,0,0,1,0,0
"132",0.596,0,0,0,0,1,0
"133",0.424,0,1,0,0,0,0
"134",0.3,0,0,1,0,0,0
"135",0.748,0,0,0,1,0,0
"136",0.892,0,0,0,1,0,0
"137",0.0600000000000001,0,0,0,1,0,1
"138",0.608,0,0,0,0,1,0
"139",0.108,0,0,0,0,1,0
"140",0.82,0,0,1,0,0,0
"141",0.056,0,0,0,1,0,0
"142",0.232,0,0,0,0,1,0
"143",0.82,0,0,1,0,0,0
"144",0.948,0,0,0,0,1,0
"145",0.296,0,0,1,0,0,0
"146",0.052,0,0,0,1,0,0
"147",0.752,0,0,1,0,0,0
"148",0.188,0,0,0,0,1,0
"149",0.564,0,0,1,0,0,0
"150",0.604,0,0,0,1,0,0
"151",0.312,0,0,0,0,1,0
"152",0.94,0,0,0,1,0,0
"153",0.676,0,0,0,1,0,0
"154",0.948,0,0,0,1,0,0
"155",0.904,0,0,0,1,0,0
"156",0.872,0,0,0,0,1,0
"157",0.936,0,0,0,1,0,0
"158",0.028,0,0,1,0,0,1
"159",0.592,0,0,0,1,0,0
"160",0.824,0,0,0,0,1,0
"161",0.212,0,0,0,0,1,0
"162",0.848,0,0,0,1,0,0
"163",0.42,0,0,1,0,0,0
"164",0.444,0,0,0,1,0,0
"165",0.988,0,0,0,1,0,0
"166",0.64,0,0,1,0,0,0
"167",0.616,0,0,1,0,0,0
"168",0.872,0,0,1,0,0,0
"169",0.94,0,0,0,1,0,0
"170",0.58,0,0,0,0,1,0
"171",0.756,0,0,1,0,0,0
"172",0.5,0,0,0,1,0,0
"173",0.532,0,0,0,1,0,0
"174",0.432,0,0,1,0,0,0
"175",0.988,0,0,0,0,1,0
"176",0.124,0,0,0,0,1,0
"177",0.644,0,0,1,0,0,0
"178",0.252,0,0,0,0,1,0
"179",0.184,0,0,0,0,1,0
"180",0.396,0,0,0,0,1,0
"181",0.244,0,0,1,0,0,0
"182",0.208,0,0,0,0,1,0
"183",0.864,0,0,1,0,0,0
"184",0.024,0,0,0,1,0,1
"185",0.096,0,0,0,0,1,0
"186",0.368,0,0,0,0,1,0
"187",0.456,0,1,0,0,0,0
"188",0.972,0,0,0,0,1,0
"189",0.00800000000000001,0,0,0,0,1,1
"190",0.512,0,0,0,0,1,0
"191",0.2,0,0,0,0,1,0
"192",0.812,0,0,0,0,1,0
"193",0.488,0,0,0,0,1,0
"194",0.78,0,0,1,0,0,0
"195",0.364,0,0,0,1,0,0
"196",0.684,0,0,1,0,0,0
"197",0.948,0,0,0,1,0,0
"198",0.708,0,1,0,0,0,0
"199",0.172,0,0,0,1,0,0
"200",0.288,0,0,1,0,0,0
