"","","","bonf_res"
"1",0.298,1,0
"2",0.268,1,0
"3",0.692,1,0
"4",0.734,1,0
"5",0.404,1,0
"6",0.754,1,0
"7",0.842,1,0
"8",0.316,1,0
"9",0.754,1,0
"10",0.922,1,0
"11",0.498,1,0
"12",0.034,1,1
"13",0.794,1,0
"14",0.086,1,0
"15",0.778,1,0
"16",0.932,1,0
"17",1,1,0
"18",0.094,1,0
"19",0.034,1,1
"20",0.868,1,0
"21",0.416,1,0
"22",0.612,1,0
"23",0.404,1,0
"24",0.746,1,0
"25",0.668,1,0
"26",0.634,1,0
"27",0.052,1,0
"28",0.248,1,0
"29",0.666,1,0
"30",0.364,1,0
"31",0.29,1,0
"32",0.1,1,0
"33",0.69,1,0
"34",0.74,1,0
"35",0.27,1,0
"36",0.324,1,0
"37",0.092,1,0
"38",0.872,1,0
"39",0.786,1,0
"40",0.48,1,0
"41",0.384,1,0
"42",0.172,1,0
"43",0.36,1,0
"44",0.878,1,0
"45",0.96,1,0
"46",0.51,1,0
"47",0.506,1,0
"48",0.842,1,0
"49",0.442,1,0
"50",0.676,1,0
"51",0.364,1,0
"52",0.718,1,0
"53",0.032,1,1
"54",0.298,1,0
"55",0.678,1,0
"56",0.934,1,0
"57",0.052,1,0
"58",0.652,1,0
"59",0.446,1,0
"60",0.994,1,0
"61",0.612,1,0
"62",0.816,1,0
"63",0.938,1,0
"64",0.936,1,0
"65",0.614,1,0
"66",0.446,1,0
"67",0.876,1,0
"68",0.752,1,0
"69",0.976,1,0
"70",0.188,1,0
"71",0.89,1,0
"72",0.016,1,0
"73",0.162,1,0
"74",0.732,1,0
"75",0.9,1,0
"76",0.396,1,0
"77",0.48,1,0
"78",0.95,1,0
"79",0.112,1,0
"80",0.636,1,0
"81",0.81,1,0
"82",0.886,1,0
"83",0.51,1,0
"84",0.014,1,1
"85",0.366,1,0
"86",0.996,1,0
"87",0.37,1,0
"88",0.41,1,0
"89",0.084,1,0
"90",0.608,1,0
"91",0.758,1,0
"92",0.572,1,0
"93",0.956,1,0
"94",0.374,1,0
"95",0.186,1,0
"96",0.262,1,0
"97",0.87,1,0
"98",0.268,1,0
"99",0.954,1,0
"100",0.838,1,0
"101",0.634,1,0
"102",0.114,1,0
"103",0.958,1,0
"104",0.038,1,0
"105",0.58,1,0
"106",0.088,1,0
"107",0.764,1,0
"108",0.134,1,0
"109",0.502,1,0
"110",0.676,1,0
"111",0.54,1,0
"112",0.826,1,0
"113",0.512,1,0
"114",0.072,1,0
"115",0.492,1,0
"116",0.898,1,0
"117",0.61,1,0
"118",0.474,1,0
"119",0.596,1,0
"120",0.642,1,0
"121",0.584,1,0
"122",0.986,1,0
"123",0.276,1,0
"124",0.33,1,0
"125",0.002,1,0
"126",0.812,1,0
"127",0.866,1,0
"128",0.774,1,0
"129",0.278,1,0
"130",0.574,1,0
"131",0.91,1,0
"132",0.59,1,0
"133",0.036,1,0
"134",0.664,1,0
"135",0.138,1,0
"136",0.102,1,1
"137",0.18,1,0
"138",0.124,1,1
"139",0.522,1,0
"140",0.918,1,0
"141",0.214,1,0
"142",0.166,1,0
"143",0.782,1,0
"144",0.666,1,0
"145",0.128,1,0
"146",0.018,1,0
"147",0.214,1,0
"148",0.14,1,0
"149",0.962,1,0
"150",0.694,1,0
"151",0.884,1,0
"152",0.602,1,0
"153",0.994,1,0
"154",0.00600000000000001,1,1
"155",0.274,1,0
"156",0.754,1,0
"157",0.366,1,0
"158",0.432,1,0
"159",0.372,1,0
"160",0.418,1,0
"161",0.892,1,0
"162",0.738,1,0
"163",0.866,1,0
"164",0.724,1,0
"165",0.96,1,0
"166",0.86,1,0
"167",0.596,1,0
"168",0.204,1,0
"169",0.94,1,0
"170",0.372,1,0
"171",0.568,1,0
"172",0.748,1,0
"173",0.626,1,0
"174",0.15,1,0
"175",0.976,1,0
"176",0.642,1,0
"177",0.27,1,0
"178",0.0659999999999999,1,0
"179",0.36,1,0
"180",0.53,1,0
"181",0.636,1,0
"182",0.838,1,0
"183",0.568,1,0
"184",0.206,1,0
"185",0.634,1,0
"186",0.594,1,0
"187",0.624,1,0
"188",0.274,1,0
"189",0.294,1,0
"190",0.756,1,0
"191",0.63,1,0
"192",0.574,1,0
"193",0.138,1,0
"194",0.958,1,0
"195",0.688,1,0
"196",0.236,1,0
"197",0.428,1,0
"198",0.89,1,0
"199",0.798,1,0
"200",0.094,1,0
"201",0.45,1,0
"202",0.594,1,0
"203",0.576,1,0
"204",0.908,1,0
"205",0.474,1,0
"206",0.502,1,0
"207",0.522,1,0
"208",0.724,1,0
"209",0.668,1,0
"210",0.38,1,0
"211",0.624,1,0
"212",0.868,1,0
"213",0.85,1,0
"214",0.386,1,0
"215",0.944,1,0
"216",0.19,1,0
"217",0.448,1,0
"218",0.404,1,0
"219",0.244,1,0
"220",0.038,1,0
"221",0.548,1,0
"222",0.146,1,0
"223",0.436,1,0
"224",0.674,1,0
"225",0.516,1,0
"226",0.212,1,0
"227",0.64,1,0
"228",0.518,1,0
"229",0.276,1,0
"230",0.234,1,0
"231",0.874,1,0
"232",0.87,1,0
"233",0.954,1,0
"234",0.852,1,0
"235",0.674,1,0
"236",0.234,1,0
"237",0.69,1,0
"238",0.486,1,0
"239",0.372,1,0
"240",0.716,1,0
"241",0.524,1,0
"242",0.708,1,0
"243",0.09,1,0
"244",0.028,1,1
"245",0.712,1,0
"246",0.272,1,0
"247",0.842,1,0
"248",0.696,1,0
"249",0.088,1,0
"250",0.678,1,0
"251",0.0679999999999999,1,0
"252",0.08,1,0
"253",0.116,1,0
"254",0.16,1,0
"255",0.114,1,0
"256",0.676,1,0
"257",0.336,1,0
"258",0.146,1,0
"259",0.32,1,0
"260",0.84,1,0
"261",0.218,1,0
"262",0.522,1,0
"263",0.62,1,0
"264",0.452,1,0
"265",0.282,1,0
"266",0.946,1,0
"267",0.532,1,0
"268",0.628,1,0
"269",0.768,1,0
"270",0.032,1,0
"271",0.532,1,0
"272",0.62,1,0
"273",0.376,1,0
"274",0.456,1,0
"275",0.812,1,0
"276",0.718,1,0
"277",0.89,1,0
"278",0.906,1,0
"279",0.49,1,0
"280",0.158,1,0
"281",0.822,1,0
"282",0.644,1,0
"283",0.804,1,0
"284",0.266,1,0
"285",0.904,1,0
"286",0.982,1,0
"287",0.9,1,0
"288",0.394,1,0
"289",0.946,1,0
"290",0.24,1,0
"291",0.754,1,0
"292",0.186,1,0
"293",0.856,1,0
"294",0.396,1,0
"295",0.422,1,0
"296",0.94,1,0
"297",0.85,1,0
"298",0.934,1,0
"299",0.58,1,0
"300",0.128,1,0
"301",0.66,1,0
"302",0.782,1,0
"303",0.636,1,0
"304",0.548,1,0
"305",0.66,1,0
"306",0.07,1,0
"307",0.0600000000000001,1,0
"308",0.688,1,0
"309",0.932,1,0
"310",0.626,1,0
"311",0.0659999999999999,1,1
"312",0.592,1,0
"313",0.294,1,0
"314",0.354,1,0
"315",0.788,1,0
"316",0.834,1,0
"317",0.998,1,0
"318",0.344,1,0
"319",0.652,1,0
"320",0.69,1,0
"321",0.564,1,0
"322",0.358,1,0
"323",0.114,1,0
"324",0.366,1,0
"325",0.442,1,0
"326",0.15,1,0
"327",0.34,1,0
"328",0.542,1,0
"329",0.256,1,0
"330",0.362,1,0
"331",0.56,1,0
"332",0.382,1,0
"333",0.172,1,0
"334",0.744,1,0
"335",0.834,1,0
"336",0.376,1,0
"337",0.856,1,0
"338",0.482,1,0
"339",0.482,1,0
"340",0.5,1,0
"341",0.484,1,0
"342",0.116,1,0
"343",1,1,0
"344",0.438,1,0
"345",0.852,1,0
"346",0.42,1,0
"347",0.828,1,0
"348",0.118,1,0
"349",0.438,1,0
"350",0.604,1,0
"351",0.998,1,0
"352",0.492,1,0
"353",0.796,1,0
"354",0.766,1,0
"355",0.716,1,0
"356",0.87,1,0
"357",0.324,1,0
"358",0.47,1,0
"359",0.442,1,0
"360",0.886,1,0
"361",0.566,1,0
"362",0.56,1,0
"363",0.636,1,0
"364",0.66,1,0
"365",0.134,1,0
"366",0.768,1,0
"367",0.978,1,0
"368",0.558,1,0
"369",0.94,1,0
"370",0.138,1,0
"371",0.364,1,0
"372",0.154,1,0
"373",0.12,1,0
"374",0.514,1,0
"375",0.938,1,0
"376",0.92,1,0
"377",0.402,1,0
"378",0.78,1,0
"379",0.662,1,0
"380",0.578,1,0
"381",0.64,1,0
"382",0.952,1,0
"383",0.526,1,0
"384",0.306,1,0
"385",0.684,1,0
"386",0.206,1,0
"387",0.834,1,0
"388",0.0600000000000001,1,0
"389",0.368,1,0
"390",0.716,1,0
"391",0.83,1,0
"392",0.588,1,0
"393",0.942,1,0
"394",0.87,1,0
"395",0.944,1,0
"396",0.542,1,0
"397",0.406,1,0
"398",0.654,1,0
"399",0.572,1,0
"400",0.524,1,0
