"","","","","","","","bonf_res"
"167",0.808,0,0,0,0,1,0
"168",0.384,0,0,0,0,1,0
"169",0.0679999999999999,0,0,0,0,1,0
"170",0.28,0,1,0,0,0,0
"171",0.328,0,0,0,0,1,0
"172",0.612,0,1,0,0,0,0
"173",0.712,0,0,0,0,1,0
"174",0.912,0,0,1,0,0,0
"175",0.396,0,1,0,0,0,0
"176",0.328,0,0,0,0,1,0
"177",0.14,0,0,1,0,0,0
"178",0.24,0,1,0,0,0,0
"179",0.092,0,0,0,0,1,0
"180",0.016,0,0,0,0,1,0
"181",0.904,0,1,0,0,0,0
"182",0.012,0,0,0,0,1,1
"183",0.308,0,0,0,0,1,0
"184",0.46,0,0,0,0,1,0
"185",0.816,0,0,1,0,0,0
"186",0.02,0,0,0,0,1,0
"187",0.884,0,0,0,1,0,0
"188",0.7,0,0,0,0,1,0
"189",0.732,0,0,1,0,0,0
"190",0.016,0,1,0,0,0,1
"191",0.676,0,0,0,0,1,0
"192",0.972,0,0,0,0,1,0
"193",0.388,0,0,0,0,1,0
"194",0.0679999999999999,0,1,0,0,0,0
"195",0.172,0,0,0,0,1,0
"196",0.18,0,0,0,0,1,0
"197",0.648,0,0,1,0,0,0
"198",0.352,0,0,0,0,1,0
"199",0.964,0,0,1,0,0,0
"200",0.968,0,0,0,0,1,0
"201",0.04,0,0,0,0,1,0
"202",0.728,0,1,0,0,0,0
"203",0.0679999999999999,0,0,0,0,1,0
"204",0.536,0,0,1,0,0,0
"205",0.3,0,0,1,0,0,0
"206",0.312,0,0,0,0,1,0
"207",0.144,0,1,0,0,0,0
"208",0.492,0,1,0,0,0,0
"209",0.468,0,1,0,0,0,0
"210",0.0600000000000001,0,0,0,0,1,0
"211",0.484,0,0,1,0,0,0
"212",0.42,0,0,0,1,0,0
"213",0.0639999999999999,0,0,0,0,1,0
"214",0.416,0,0,0,0,1,0
"215",0.692,0,1,0,0,0,0
"216",0.004,0,0,0,0,1,1
"217",0.572,0,0,0,1,0,0
"218",0.736,0,0,0,0,1,0
"219",0.384,0,0,0,1,0,0
"220",0.752,0,0,0,0,1,0
"221",0.48,0,1,0,0,0,0
"222",0.792,0,0,0,1,0,0
"223",0.0639999999999999,0,0,0,0,1,0
"224",0,0,0,1,0,0,1
"225",0.276,0,1,0,0,0,0
"226",0.988,0,0,0,1,0,0
"227",0.352,0,0,1,0,0,0
"228",0.232,0,0,0,0,1,0
"229",0.972,0,0,1,0,0,0
"230",0.904,0,0,0,1,0,0
"231",0.256,0,0,0,0,1,0
"232",0.436,0,0,0,0,1,0
"233",0.78,0,0,1,0,0,0
"234",0.768,0,0,0,0,1,0
"235",0.544,0,0,0,1,0,0
"236",0.012,0,0,0,0,1,0
"237",0.164,0,0,1,0,0,0
"238",0.124,0,0,0,0,1,0
"239",0.7,0,0,0,0,1,0
"240",0.152,0,1,0,0,0,0
"241",0.384,0,0,1,0,0,0
"242",0.232,0,1,0,0,0,0
"243",0.948,0,1,0,0,0,0
"244",0.328,0,0,1,0,0,0
"245",0.072,0,0,0,0,1,0
"246",0.452,0,1,0,0,0,0
"247",0.28,0,0,0,0,1,0
"248",0.392,0,1,0,0,0,0
"249",0.512,0,0,1,0,0,0
"250",0.236,0,1,0,0,0,0
"251",0.548,0,0,0,0,1,0
"252",0.648,0,0,0,0,1,0
"253",0.308,0,1,0,0,0,0
"254",0.056,0,0,0,0,1,0
"255",0.0679999999999999,0,0,0,0,1,1
"256",0.832,0,0,0,0,1,0
"257",0.784,0,0,1,0,0,0
"258",0.0600000000000001,0,0,0,0,1,0
"259",0.724,0,0,1,0,0,0
"260",0.696,0,0,0,1,0,0
"261",0.608,0,0,0,0,1,0
"262",0.096,0,1,0,0,0,1
"263",0.764,0,0,0,0,1,0
"264",0.72,0,0,0,0,1,0
"265",0.392,0,0,0,0,1,0
"266",0.036,0,0,0,0,1,1
"267",0.756,0,1,0,0,0,0
"268",0.016,0,0,0,0,1,1
"269",0.64,0,0,0,0,1,0
"270",0.612,0,0,0,1,0,0
"271",0.332,0,1,0,0,0,0
"272",0.132,0,0,0,0,1,0
"273",0.76,0,0,1,0,0,0
"274",0.24,0,0,0,0,1,0
"275",0.772,0,1,0,0,0,0
"276",0.972,0,0,0,0,1,0
"277",0.276,0,0,1,0,0,0
"278",0.324,0,1,0,0,0,0
"279",0.216,0,1,0,0,0,0
"280",0.584,0,1,0,0,0,0
"281",0.728,0,0,0,1,0,0
"282",0.92,0,0,0,0,1,0
"283",0.412,0,1,0,0,0,0
"284",0.516,0,0,1,0,0,0
"285",0.016,0,0,0,0,1,1
"286",0.32,0,0,0,0,1,0
"287",0.124,0,0,0,0,1,0
"288",0.0600000000000001,0,1,0,0,0,1
"289",0.908,0,0,0,0,1,0
"290",0.632,0,0,0,0,1,0
"291",0.412,0,0,0,0,1,0
"292",0.224,0,0,1,0,0,0
"293",0.208,0,0,1,0,0,0
"294",0.616,0,0,0,1,0,0
"295",0.432,1,0,0,0,0,0
"296",0.496,0,0,0,0,1,0
"297",0.352,0,0,1,0,0,0
"298",1,0,0,1,0,0,0
"299",0.096,0,0,0,0,1,0
"300",0.004,0,0,0,0,1,1
"301",0.608,0,0,0,0,1,0
"302",0.432,0,0,0,0,1,0
"303",0.552,0,0,0,1,0,0
"304",0.492,0,0,0,0,1,0
"305",0.464,0,1,0,0,0,0
"306",0.212,1,0,0,0,0,0
"307",0.436,0,1,0,0,0,0
"308",0.5,0,0,0,0,1,0
"309",0.64,0,0,1,0,0,0
"310",0.68,0,0,0,1,0,0
"311",0.88,0,0,0,0,1,0
"312",0.096,0,0,0,0,1,0
"313",0.596,0,0,0,0,1,0
"314",0.3,0,0,0,0,1,0
"315",0.448,0,1,0,0,0,0
"316",0.112,0,0,1,0,0,0
"317",0.976,0,1,0,0,0,0
"318",0.148,0,0,0,1,0,0
"319",0.216,0,0,0,0,1,0
"320",0.396,0,0,0,1,0,0
