"","","","bonf_res"
"1",0.5435,0.5435,0
"2",0.2095,0.2095,0
"3",0.079,0.079,0
"4",0.376,0.376,0
"5",0.7015,0.7015,0
"6",0.0235,0.0235,1
"7",0.926,0.926,0
"8",0.2465,0.2465,0
"9",0.142,0.142,0
"10",0.404,0.404,0
"11",0.3125,0.3125,0
"12",0.3575,0.3575,0
"13",0.005,0.005,1
"14",5e-04,5e-04,1
"15",0.707,0.707,0
"16",0.39,0.39,0
"17",0.094,0.094,0
"18",0.594,0.594,0
"19",0.085,0.085,0
"20",0.6915,0.6915,0
"21",0.502,0.502,0
"22",0.6915,0.6915,0
"23",0.059,0.059,0
"24",0.305,0.305,0
"25",0.226,0.226,0
"26",0.1285,0.1285,0
"27",0.0925,0.0925,0
"28",0.054,0.054,0
"29",0.2655,0.2655,0
"30",0.1405,0.1405,0
"31",0.087,0.087,0
"32",0.4845,0.4845,0
"33",0.5265,0.5265,0
"34",0.03,0.03,0
"35",0.0455,0.0455,0
"36",0.138,0.138,0
"37",0.103,0.103,0
"38",0.9345,0.9345,0
"39",0.045,0.045,0
"40",0.6665,0.6665,0
"41",0.002,0.002,1
"42",0.113,0.113,0
"43",0.981,0.981,0
"44",0.8105,0.8105,0
"45",0.92,0.92,0
"46",0.4125,0.4125,0
"47",0.319,0.319,0
"48",0.6135,0.6135,0
"49",0.106,0.106,0
"50",0.424,0.424,0
"51",0.0515,0.0515,0
"52",0.1045,0.1045,0
"53",0.1545,0.1545,0
"54",0.0125,0.0125,1
"55",0.1335,0.1335,0
"56",0.12,0.12,0
"57",0.293,0.293,0
"58",0.2145,0.2145,0
"59",0.1345,0.1345,0
"60",0.9075,0.9075,0
"61",0.0835,0.0835,0
"62",0.2995,0.2995,0
"63",0.0885,0.0885,0
"64",0.001,0.001,1
"65",0.2615,0.2615,0
"66",0.0225,0.0225,1
"67",0.381,0.381,0
"68",0.0855,0.0855,0
"69",0.196,0.196,0
"70",0.439,0.439,0
"71",0.7435,0.7435,0
"72",0.3655,0.3655,0
"73",0.132,0.132,0
"74",0.0295,0.0295,1
"75",5e-04,5e-04,1
"76",0.7005,0.7005,0
"77",0.401,0.401,0
"78",0.6845,0.6845,0
"79",0.6725,0.6725,0
"80",0.762,0.762,0
"81",0.021,0.021,1
"82",0.88,0.88,0
"83",0.537,0.537,0
"84",0.1315,0.1315,0
"85",0.2775,0.2775,0
"86",0.204,0.204,0
"87",0.828,0.828,0
"88",0.9395,0.9395,0
"89",0.2445,0.2445,0
"90",0.174,0.174,0
"91",0.243,0.243,0
"92",0.049,0.049,0
"93",0.242,0.242,0
"94",0.235,0.235,0
"95",0.0045,0.0045,1
"96",0.4735,0.4735,0
"97",0.077,0.077,0
"98",0.28,0.28,0
"99",0.0635,0.0635,0
"100",0.0975,0.0975,0
"101",0.1655,0.1655,0
"102",0.4655,0.4655,0
"103",0.1835,0.1835,0
"104",0.0025,0.0025,1
"105",0.504,0.504,0
"106",0.631,0.631,0
"107",0.688,0.688,0
"108",0.583,0.583,0
"109",0.3015,0.3015,0
