"","","","","","","","bonf_res"
"167",0.046,0,0,1,0,0,1
"168",0.412,0,1,0,0,0,0
"169",0.32,0,0,0,0,1,0
"170",0.304,0,0,0,0,1,0
"171",0.042,0,0,0,0,1,0
"172",0.186,0,0,1,0,0,0
"173",0.972,0,0,1,0,0,0
"174",0.508,0,0,0,1,0,0
"175",0.156,0,0,0,1,0,0
"176",0.6,0,1,0,0,0,0
"177",0.466,0,0,0,0,1,0
"178",0.802,0,1,0,0,0,0
"179",0.096,0,0,1,0,0,0
"180",0.994,0,1,0,0,0,0
"181",0.038,0,0,1,0,0,1
"182",0.328,0,0,0,0,1,0
"183",0.378,0,0,0,0,1,0
"184",0.91,0,1,0,0,0,0
"185",0.702,0,0,0,0,1,0
"186",0.422,0,0,0,0,1,0
"187",0.55,0,0,0,0,1,0
"188",0.786,0,1,0,0,0,0
"189",0.746,0,0,1,0,0,0
"190",0.804,0,1,0,0,0,0
"191",0.596,0,0,0,0,1,0
"192",0.698,0,0,0,1,0,0
"193",0.942,0,1,0,0,0,0
"194",0.18,0,0,1,0,0,0
"195",0.0659999999999999,0,0,0,0,1,0
"196",0.456,0,0,1,0,0,0
"197",0.552,0,0,1,0,0,0
"198",0.518,0,0,0,0,1,0
"199",0.904,0,1,0,0,0,0
"200",0.002,0,0,0,0,1,1
"201",0.682,0,0,1,0,0,0
"202",0.766,0,0,0,0,1,0
"203",0.804,0,1,0,0,0,0
"204",0.162,0,0,0,0,1,0
"205",0.794,0,0,1,0,0,0
"206",0.508,0,0,0,0,1,0
"207",0.372,0,0,0,0,1,0
"208",0.128,0,0,0,0,1,0
"209",0.174,0,0,0,0,1,0
"210",0.58,0,0,0,0,1,0
"211",0.392,0,1,0,0,0,0
"212",0.662,0,0,0,0,1,0
"213",0.082,0,0,0,0,1,0
"214",0.326,0,0,0,1,0,0
"215",0.326,0,0,0,0,1,0
"216",0.336,0,0,0,0,1,0
"217",0.518,0,1,0,0,0,0
"218",0.572,0,0,0,0,1,0
"219",0.392,0,0,0,0,1,0
"220",0.542,0,0,1,0,0,0
"221",0.354,0,0,1,0,0,0
"222",0.5,0,1,0,0,0,0
"223",0.844,0,1,0,0,0,0
"224",0.734,0,0,0,0,1,0
"225",0.002,0,0,0,0,1,1
"226",0.0639999999999999,0,0,0,0,1,0
"227",0.708,0,0,1,0,0,0
"228",0.366,0,0,0,0,1,0
"229",0.176,0,1,0,0,0,0
"230",0.298,0,1,0,0,0,0
"231",0.97,0,0,0,1,0,0
"232",0.522,0,0,0,0,1,0
"233",0.858,0,1,0,0,0,0
"234",0.192,0,0,0,0,1,0
"235",0.868,0,0,0,1,0,0
