"","","","","","","","","bonf_res"
"152",0.144,0,0,1,0,0,0,0
"153",0.516,0,0,0,0,1,0,0
"154",0.996,0,1,0,0,0,0,0
"155",0.5,0,1,0,0,0,0,0
"156",0.284,1,0,0,0,0,0,0
"157",0.7,0,1,0,0,0,0,0
"158",0.108,0,1,0,0,0,0,0
"159",0.488,0,1,0,0,0,0,0
"160",0.552,0,0,1,0,0,0,0
"161",0.812,0,1,0,0,0,0,0
"162",0.0639999999999999,1,0,0,0,0,0,0
"163",0.312,1,0,0,0,0,0,0
"164",0.352,0,0,1,0,0,0,0
"165",0.152,1,0,0,0,0,0,0
"166",0.38,0,1,0,0,0,0,0
"167",0.772,0,1,0,0,0,0,0
"168",0.916,0,0,1,0,0,0,0
"169",0.348,0,1,0,0,0,0,0
"170",0.4,0,0,0,1,0,0,0
"171",0.796,0,1,0,0,0,0,0
"172",0.992,0,1,0,0,0,0,0
"173",0.076,0,1,0,0,0,0,0
"174",0.412,0,1,0,0,0,0,0
"175",0.572,0,1,0,0,0,0,0
"176",0.424,0,1,0,0,0,0,0
"177",0.716,0,0,0,0,0,1,0
"178",0.448,0,1,0,0,0,0,0
"179",0.152,1,0,0,0,0,0,0
"180",0.528,0,1,0,0,0,0,0
"181",0.692,0,1,0,0,0,0,0
"182",0.212,0,1,0,0,0,0,0
"183",0.372,1,0,0,0,0,0,0
"184",0.924,0,1,0,0,0,0,0
"185",0.216,0,0,1,0,0,0,0
"186",0.448,0,1,0,0,0,0,0
"187",0.432,0,1,0,0,0,0,0
"188",0.0679999999999999,0,1,0,0,0,0,0
"189",0.128,0,0,0,1,0,0,0
"190",0.804,1,0,0,0,0,0,0
"191",0.092,0,1,0,0,0,0,0
"192",0.028,0,1,0,0,0,0,0
"193",0.92,0,1,0,0,0,0,0
"194",0.24,0,0,0,1,0,0,0
"195",0.42,0,1,0,0,0,0,0
"196",0.444,0,1,0,0,0,0,0
"197",0.812,0,1,0,0,0,0,0
"198",0.196,0,0,1,0,0,0,0
"199",0.832,1,0,0,0,0,0,0
"200",0.808,0,1,0,0,0,0,0
"201",0.24,1,0,0,0,0,0,0
"202",0.484,1,0,0,0,0,0,0
"203",0.408,0,0,0,0,1,0,0
"204",0.08,1,0,0,0,0,0,0
"205",0.26,0,1,0,0,0,0,0
"206",0.66,0,1,0,0,0,0,0
"207",0.512,0,1,0,0,0,0,0
"208",0.792,0,1,0,0,0,0,0
"209",0.02,0,0,0,1,0,0,1
"210",0.34,1,0,0,0,0,0,0
"211",0.836,0,0,0,0,1,0,0
"212",0.988,0,0,1,0,0,0,0
"213",0.976,1,0,0,0,0,0,0
"214",0.02,0,1,0,0,0,0,1
"215",0.972,0,1,0,0,0,0,0
"216",0.588,0,1,0,0,0,0,0
"217",0.62,1,0,0,0,0,0,0
"218",0.796,0,0,1,0,0,0,0
"219",0.66,0,0,0,1,0,0,0
"220",0.912,0,1,0,0,0,0,0
"221",0.98,0,1,0,0,0,0,0
"222",0.276,0,0,1,0,0,0,0
"223",0.552,0,0,1,0,0,0,0
"224",0.312,0,1,0,0,0,0,0
"225",0.672,1,0,0,0,0,0,0
"226",0.636,1,0,0,0,0,0,0
"227",0.84,0,0,1,0,0,0,0
"228",0.752,0,1,0,0,0,0,0
"229",0.504,0,1,0,0,0,0,0
