"","","","","","","","","bonf_res"
"151",0.184,0,1,0,0,0,0,0
"152",0.224,0,1,0,0,0,0,0
"153",0.08,1,0,0,0,0,0,0
"154",0.34,1,0,0,0,0,0,0
"155",0.04,1,0,0,0,0,0,1
"156",0.148,0,1,0,0,0,0,0
"157",0.316,0,1,0,0,0,0,0
"158",0.128,0,1,0,0,0,0,0
"159",0.004,1,0,0,0,0,0,1
"160",0.712,0,1,0,0,0,0,0
"161",0.004,1,0,0,0,0,0,1
"162",0.128,0,1,0,0,0,0,0
"163",0.132,1,0,0,0,0,0,0
"164",0.9,0,1,0,0,0,0,0
"165",0.056,0,1,0,0,0,0,0
"166",0.168,0,1,0,0,0,0,0
"167",0.048,0,1,0,0,0,0,0
"168",0.16,0,1,0,0,0,0,0
"169",0.7,0,1,0,0,0,0,0
"170",0.032,1,0,0,0,0,0,1
"171",0.136,0,1,0,0,0,0,0
"172",0.196,0,0,1,0,0,0,0
"173",0.332,1,0,0,0,0,0,0
"174",0.236,0,1,0,0,0,0,0
"175",0.0639999999999999,1,0,0,0,0,0,0
"176",0.012,0,1,0,0,0,0,0
"177",0.544,0,1,0,0,0,0,0
"178",0,1,0,0,0,0,0,1
"179",0.332,0,1,0,0,0,0,0
"180",0.24,0,1,0,0,0,0,0
"181",0.712,0,1,0,0,0,0,0
"182",0.308,0,1,0,0,0,0,0
"183",0.74,0,1,0,0,0,0,0
"184",0.056,1,0,0,0,0,0,0
"185",0.224,1,0,0,0,0,0,0
"186",0.296,0,1,0,0,0,0,0
"187",0.024,1,0,0,0,0,0,1
"188",0.324,1,0,0,0,0,0,0
"189",0.184,1,0,0,0,0,0,0
"190",0.14,0,1,0,0,0,0,0
"191",0.364,0,1,0,0,0,0,0
"192",0,0,1,0,0,0,0,1
"193",0.192,0,1,0,0,0,0,0
"194",0.148,0,1,0,0,0,0,0
"195",0.72,0,1,0,0,0,0,0
"196",0.372,0,1,0,0,0,0,0
"197",0.236,1,0,0,0,0,0,0
"198",0.12,1,0,0,0,0,0,1
"199",0.508,0,1,0,0,0,0,0
"200",0.652,0,1,0,0,0,0,0
"201",0.912,0,1,0,0,0,0,0
"202",0.004,0,1,0,0,0,0,1
"203",0.128,0,1,0,0,0,0,0
"204",0.752,0,1,0,0,0,0,0
"205",0.032,0,1,0,0,0,0,0
"206",0.272,0,1,0,0,0,0,0
"207",0.16,1,0,0,0,0,0,0
"208",0.624,0,1,0,0,0,0,0
"209",0.284,1,0,0,0,0,0,0
"210",0.216,0,1,0,0,0,0,0
"211",0.756,0,1,0,0,0,0,0
"212",0.048,0,1,0,0,0,0,1
"213",0.132,0,1,0,0,0,0,0
"214",0.484,1,0,0,0,0,0,0
"215",0.692,0,1,0,0,0,0,0
"216",0.016,0,1,0,0,0,0,0
"217",0.176,0,1,0,0,0,0,0
"218",0.004,0,1,0,0,0,0,1
"219",0.084,0,1,0,0,0,0,0
"220",0.808,0,1,0,0,0,0,0
"221",0.016,0,1,0,0,0,0,0
"222",0.78,0,1,0,0,0,0,0
"223",0.508,1,0,0,0,0,0,0
"224",0.12,0,1,0,0,0,0,0
"225",0.092,0,1,0,0,0,0,1
"226",0.02,0,1,0,0,0,0,0
"227",0.152,0,1,0,0,0,0,1
"228",0.256,1,0,0,0,0,0,0
"229",0.204,0,1,0,0,0,0,0
"230",0.196,1,0,0,0,0,0,0
"231",0.288,0,1,0,0,0,0,0
"232",0.02,0,1,0,0,0,0,0
"233",0.176,0,1,0,0,0,0,0
"234",0.0679999999999999,0,1,0,0,0,0,0
"235",0.448,0,1,0,0,0,0,0
