"","","","bonf_res"
"1",0.352,1,0
"2",0.796,1,0
"3",0.418,1,0
"4",0.956,1,0
"5",0.134,1,0
"6",0.012,1,1
"7",0.268,1,0
"8",0.102,1,0
"9",0.772,1,0
"10",0.076,1,0
"11",0.074,1,0
"12",0.026,1,0
"13",0.004,1,1
"14",0.83,1,0
"15",0.112,1,0
"16",0.03,1,1
"17",0.27,1,0
"18",0.03,1,0
"19",0.372,1,0
"20",0.086,1,1
"21",0.13,1,0
"22",0.524,1,0
"23",0.826,1,0
"24",0.296,1,0
"25",0.556,1,0
"26",0.244,1,0
"27",0.002,1,1
"28",0.272,1,0
"29",0.97,1,0
"30",0.354,1,0
"31",0.004,1,1
"32",0.39,1,0
"33",0.45,1,0
"34",0.546,1,0
"35",0.93,1,0
"36",0.018,1,1
"37",0.484,1,0
"38",0.052,1,0
"39",0.198,1,0
"40",0.542,1,0
"41",0.422,1,0
"42",0.026,1,0
"43",0.00800000000000001,1,1
"44",0.108,1,0
"45",0.274,1,0
"46",0.338,1,0
"47",0.042,1,1
"48",0.448,1,0
"49",0.1,1,0
"50",0.662,1,0
"51",0.506,1,0
"52",0.024,1,0
"53",0.308,1,0
"54",0.556,1,0
"55",0.07,1,1
"56",0.836,1,0
"57",0.076,1,0
"58",0.014,1,0
"59",0.23,1,0
"60",0.47,1,0
"61",0.124,1,0
"62",0.022,1,1
"63",0.818,1,0
"64",0.426,1,0
"65",0.796,1,0
"66",0.472,1,0
"67",0.446,1,0
"68",0.39,1,0
"69",0.998,1,0
"70",0.126,1,1
"71",0.778,1,0
"72",0.356,1,0
"73",0.334,1,0
"74",0.584,1,0
"75",0.688,1,0
"76",0.238,1,0
"77",0.26,1,0
"78",0.038,1,0
"79",0.184,1,0
"80",0.026,1,1
"81",0.646,1,0
"82",0.026,1,1
"83",0.628,1,0
"84",0.14,1,0
"85",0.624,1,0
"86",0.764,1,0
"87",0.296,1,0
"88",0.478,1,0
"89",0.412,1,0
"90",0.484,1,0
"91",0.03,1,1
"92",0.282,1,0
"93",0.448,1,0
"94",0.052,1,0
"95",0.528,1,0
"96",0.534,1,0
"97",0.1,1,0
"98",0.178,1,0
"99",0.432,1,0
"100",0.004,1,1
"101",0.394,1,0
"102",0.046,1,0
"103",0.22,1,0
"104",0.85,1,0
"105",0.242,1,0
"106",0.084,1,0
"107",0.768,1,0
"108",0.664,1,0
"109",0.012,1,1
"110",0.656,1,0
"111",0.196,1,0
"112",0.028,1,0
"113",0.0600000000000001,1,0
"114",0.66,1,0
"115",0.706,1,0
"116",0.22,1,0
"117",0.828,1,0
"118",0.07,1,0
"119",0.246,1,0
"120",0.712,1,0
"121",0.38,1,0
"122",0.536,1,0
"123",0.34,1,0
"124",0.482,1,0
"125",0.156,1,0
"126",0.81,1,0
"127",0.69,1,0
"128",0.34,1,0
"129",0.042,1,0
"130",0.35,1,0
"131",0.256,1,0
"132",0.846,1,0
"133",0.03,1,1
"134",0.322,1,0
"135",0.246,1,0
"136",0.65,1,0
"137",0.256,1,0
"138",0.13,1,0
"139",0.018,1,0
"140",0.124,1,0
"141",0.682,1,0
"142",0.054,1,0
"143",0.032,1,0
"144",0.252,1,0
"145",0.46,1,0
"146",0.218,1,0
"147",0.23,1,0
"148",0.09,1,0
"149",0.416,1,0
"150",0.46,1,0
"151",0.0639999999999999,1,0
"152",0.556,1,0
"153",0.718,1,0
"154",0.782,1,0
"155",0.256,1,0
"156",0.144,1,0
"157",0.516,1,0
"158",0.752,1,0
"159",0.538,1,0
"160",0.054,1,0
"161",0.86,1,0
"162",0.028,1,0
"163",0.042,1,1
"164",0.362,1,0
"165",0.7,1,0
"166",0.902,1,0
"167",0.128,1,0
"168",0.056,1,0
"169",0.556,1,0
"170",0.348,1,0
"171",0.976,1,0
"172",0.244,1,0
"173",0.832,1,0
"174",0.918,1,0
"175",0.00800000000000001,1,1
"176",0.152,1,0
"177",0.082,1,1
"178",0.03,1,1
"179",0.178,1,0
"180",0.698,1,0
"181",0.87,1,0
"182",0.346,1,0
"183",0.858,1,0
"184",0.564,1,0
"185",0.496,1,0
"186",0.302,1,0
"187",0.126,1,0
"188",0.726,1,0
"189",0.456,1,0
"190",0.08,1,1
"191",0.238,1,0
"192",0.726,1,0
"193",0.11,1,0
"194",0.032,1,0
"195",0.00600000000000001,1,1
"196",0.374,1,0
"197",0.852,1,0
"198",0.646,1,0
"199",0.078,1,0
"200",0.14,1,0
"201",0.278,1,0
"202",0.29,1,0
"203",0.226,1,0
"204",0.24,1,0
"205",0.944,1,0
"206",0.626,1,0
"207",0.272,1,0
"208",0.828,1,0
"209",0.112,1,0
"210",0.414,1,0
"211",0.102,1,0
"212",0.012,1,0
"213",0.238,1,0
"214",0.212,1,0
"215",0.002,1,1
"216",0.56,1,0
"217",0.336,1,0
"218",0.872,1,0
"219",0.692,1,0
"220",0.526,1,0
"221",0.73,1,0
"222",0.8,1,0
"223",0.126,1,0
"224",0.912,1,0
"225",0.238,1,0
"226",0.138,1,0
"227",0.00800000000000001,1,1
"228",0.476,1,0
"229",0.092,1,0
"230",0.996,1,0
"231",0.512,1,0
"232",0.176,1,0
"233",0.824,1,0
"234",0.43,1,0
"235",0.198,1,0
"236",0.108,1,0
"237",0.158,1,0
"238",0.434,1,0
"239",0.052,1,1
"240",0.622,1,0
"241",0.278,1,0
"242",0.54,1,0
"243",0.396,1,0
"244",0.382,1,0
"245",0.312,1,0
"246",0.372,1,0
"247",0.094,1,0
"248",0.022,1,1
"249",0.216,1,0
"250",0.862,1,0
"251",0.204,1,0
"252",0.358,1,0
"253",0.34,1,0
"254",0.334,1,0
"255",0.8,1,0
"256",0.3,1,0
"257",0.336,1,0
"258",0.784,1,0
"259",0.828,1,0
"260",0.39,1,0
"261",0.1,1,0
"262",0.808,1,0
"263",0.952,1,0
"264",0.892,1,0
"265",0.948,1,0
"266",0.024,1,1
"267",0.126,1,0
"268",0.19,1,0
"269",0.05,1,1
"270",0.61,1,0
"271",0.044,1,1
"272",0.32,1,0
"273",0.24,1,0
"274",0.836,1,0
"275",0.494,1,0
"276",0.482,1,0
"277",0.858,1,0
"278",0.236,1,0
"279",0.74,1,0
"280",0.334,1,0
"281",0.38,1,0
"282",0.426,1,0
"283",0.124,1,0
"284",0.652,1,0
"285",0.292,1,0
"286",0.138,1,0
"287",0.56,1,0
"288",0.602,1,0
"289",0.268,1,0
"290",0.508,1,0
"291",0.08,1,0
"292",0.268,1,0
"293",0.866,1,0
"294",0.182,1,0
"295",0.046,1,0
"296",0.954,1,0
"297",0.374,1,0
"298",0.00800000000000001,1,1
"299",0.886,1,0
"300",0.00600000000000001,1,1
"301",0.64,1,0
"302",0.878,1,0
"303",0.01,1,0
"304",0.35,1,0
"305",0.1,1,0
"306",0.908,1,0
"307",0.822,1,0
"308",0.882,1,0
"309",0.276,1,0
"310",0.444,1,0
"311",0.036,1,1
"312",0.044,1,1
"313",0.5,1,0
"314",0.338,1,0
"315",0.238,1,0
"316",0.5,1,0
"317",0.07,1,0
"318",0.122,1,0
"319",0.532,1,0
"320",0.742,1,0
"321",0.366,1,0
"322",0.216,1,0
"323",0.47,1,0
"324",0.078,1,0
"325",0.002,1,1
"326",0.12,1,0
"327",0.228,1,0
"328",0.946,1,0
"329",0.01,1,1
"330",0.108,1,0
"331",0.274,1,0
"332",0.748,1,0
"333",0.708,1,0
"334",0.456,1,0
"335",0.05,1,1
"336",0.642,1,0
"337",0.764,1,0
"338",0.358,1,0
"339",0.658,1,0
"340",0.202,1,0
"341",0.51,1,0
"342",0.012,1,1
"343",0.682,1,0
"344",0.442,1,0
"345",0.372,1,0
"346",0.414,1,0
"347",0.382,1,0
"348",0.056,1,1
"349",0.13,1,0
"350",0.51,1,0
"351",0.004,1,1
"352",0.098,1,1
"353",0.272,1,0
"354",0.738,1,0
"355",0.316,1,0
"356",0.0580000000000001,1,0
"357",0.438,1,0
"358",0.196,1,0
"359",0.176,1,0
"360",0.624,1,0
"361",0.098,1,0
"362",0.228,1,0
"363",0.326,1,0
"364",0.36,1,0
"365",0.254,1,0
"366",0.0639999999999999,1,1
"367",0.048,1,0
"368",0.078,1,0
"369",0.196,1,0
"370",0.118,1,0
"371",0.744,1,0
"372",0.268,1,0
"373",0.172,1,0
"374",0.05,1,0
"375",0.672,1,0
"376",0.494,1,0
"377",0.03,1,0
"378",0.484,1,0
"379",0.146,1,0
"380",0.758,1,0
"381",0.224,1,0
"382",0.138,1,0
"383",0.296,1,0
"384",0.044,1,1
"385",0.322,1,0
"386",0.0600000000000001,1,1
"387",0.398,1,0
"388",0.26,1,0
"389",0.574,1,0
"390",0.94,1,0
"391",0.37,1,0
"392",0.028,1,1
"393",0.842,1,0
"394",0.79,1,0
"395",0.882,1,0
"396",0.02,1,1
"397",0.782,1,0
"398",0.2,1,0
"399",0.002,1,1
"400",0.97,1,0
