"","","","","","","","bonf_res"
"168",0.492,0,0,0,0,1,0
"169",0.978,0,1,0,0,0,0
"170",0.942,0,0,1,0,0,0
"171",0.946,0,0,0,0,1,0
"172",0.88,0,1,0,0,0,0
"173",0.7,0,0,1,0,0,0
"174",0.862,0,0,0,1,0,0
"175",0.422,0,0,0,0,1,0
"176",0.628,0,0,0,0,1,0
"177",0.504,0,0,0,0,1,0
"178",0.418,0,1,0,0,0,0
"179",0.592,0,0,0,0,1,0
"180",0.628,0,0,0,0,1,0
"181",0.13,0,0,1,0,0,0
"182",0.314,0,0,0,0,1,0
"183",0.662,0,0,0,0,1,0
"184",0.902,0,0,0,0,1,0
"185",0.734,0,0,0,0,1,0
"186",0.032,0,0,0,0,1,1
"187",0.19,0,0,0,0,1,0
"188",0.296,0,0,1,0,0,0
"189",0.774,0,1,0,0,0,0
"190",0.054,0,0,0,0,1,0
"191",0.104,1,0,0,0,0,1
"192",0.66,0,0,0,0,1,0
"193",0.42,0,0,0,0,1,0
"194",0.788,0,1,0,0,0,0
"195",0.998,0,0,0,0,1,0
"196",0.174,0,0,0,0,1,0
"197",0.306,0,0,0,0,1,0
"198",0.312,0,0,1,0,0,0
"199",0.672,0,1,0,0,0,0
"200",0.622,0,0,0,0,1,0
"201",0.566,0,0,0,0,1,0
"202",0.192,0,0,0,0,1,0
"203",0.538,0,0,0,0,1,0
"204",0.742,0,1,0,0,0,0
"205",0.946,0,0,0,0,1,0
"206",0.5,0,1,0,0,0,0
"207",0.0600000000000001,0,0,0,0,1,1
"208",0.998,0,0,0,1,0,0
"209",0.38,0,0,1,0,0,0
"210",0.676,0,0,0,0,1,0
"211",0.48,0,0,0,1,0,0
"212",0.004,0,0,1,0,0,1
"213",0.676,0,0,0,0,1,0
"214",0.136,0,0,0,0,1,0
"215",0.942,0,0,1,0,0,0
"216",0.198,0,0,1,0,0,0
"217",0.486,0,0,1,0,0,0
"218",0.596,0,1,0,0,0,0
"219",0.1,0,0,0,0,1,0
"220",0.43,0,0,0,0,1,0
"221",0.998,0,0,1,0,0,0
"222",0.648,0,0,1,0,0,0
"223",0.828,0,0,1,0,0,0
"224",0.404,0,0,0,0,1,0
"225",0.324,0,0,0,0,1,0
"226",0.898,0,0,0,0,1,0
"227",0.0639999999999999,0,0,0,0,1,0
"228",0.77,0,1,0,0,0,0
"229",0.846,0,0,0,0,1,0
"230",0.584,0,0,0,0,1,0
"231",0.78,0,1,0,0,0,0
"232",0.456,0,0,0,1,0,0
"233",0.866,0,1,0,0,0,0
"234",0.254,0,0,1,0,0,0
"235",0.442,0,0,1,0,0,0
"236",0.662,0,0,1,0,0,0
"237",0.84,0,0,0,1,0,0
"238",0.918,0,1,0,0,0,0
"239",0.544,0,0,0,0,1,0
"240",0.176,0,0,1,0,0,0
"241",0.958,0,0,0,0,1,0
"242",1,0,1,0,0,0,0
"243",0.798,0,0,0,0,1,0
"244",0.694,0,0,0,0,1,0
"245",0.196,0,0,0,0,1,0
"246",0.32,0,1,0,0,0,0
"247",0.968,0,1,0,0,0,0
"248",0.684,0,0,0,0,1,0
"249",0.518,0,1,0,0,0,0
"250",0.028,0,0,1,0,0,1
"251",0.078,0,0,1,0,0,0
"252",0.708,0,0,1,0,0,0
"253",0.614,0,0,0,0,1,0
"254",0.648,0,0,0,0,1,0
"255",0.782,0,1,0,0,0,0
"256",0.452,0,0,0,1,0,0
"257",0.67,0,0,0,0,1,0
"258",0.468,0,1,0,0,0,0
"259",0.542,0,0,0,0,1,0
"260",0.346,0,0,0,0,1,0
"261",0.194,0,0,1,0,0,0
"262",0.858,0,0,0,0,1,0
"263",0.592,0,1,0,0,0,0
"264",0.11,0,1,0,0,0,0
"265",0.214,0,0,0,0,1,0
"266",0.32,0,0,1,0,0,0
"267",0.232,0,1,0,0,0,0
"268",0.53,0,0,0,1,0,0
"269",0.75,0,0,0,0,1,0
"270",0.274,0,0,0,0,1,0
"271",0.18,0,0,0,0,1,0
"272",0.46,0,0,0,0,1,0
"273",0.922,0,0,0,0,1,0
"274",0.526,0,0,0,0,1,0
"275",0.426,0,0,0,0,1,0
"276",0.15,0,1,0,0,0,0
"277",0.374,0,1,0,0,0,0
"278",0.654,0,1,0,0,0,0
"279",0.402,0,0,1,0,0,0
"280",0.708,0,0,1,0,0,0
"281",0.616,0,1,0,0,0,0
"282",0.57,0,0,0,0,1,0
"283",0.382,0,0,0,0,1,0
"284",0.716,0,0,0,0,1,0
"285",0.77,0,0,0,0,1,0
"286",0.504,0,0,0,0,1,0
"287",0.5,0,0,0,0,1,0
"288",0.996,0,0,0,0,1,0
"289",0.048,0,1,0,0,0,1
"290",0.0639999999999999,0,0,0,0,1,0
"291",0.56,0,1,0,0,0,0
"292",0.698,0,1,0,0,0,0
"293",0.976,0,0,0,1,0,0
"294",0.02,0,0,0,0,1,1
"295",0.536,0,1,0,0,0,0
"296",0.592,0,0,1,0,0,0
"297",0.31,0,0,0,0,1,0
"298",0.738,0,0,1,0,0,0
"299",0.934,0,1,0,0,0,0
"300",0.828,0,1,0,0,0,0
"301",0.102,0,0,0,0,1,0
"302",0.49,0,1,0,0,0,0
"303",0.57,0,1,0,0,0,0
"304",0.688,0,0,0,0,1,0
"305",0.38,0,0,0,0,1,0
"306",0.884,0,1,0,0,0,0
"307",0.33,0,0,0,0,1,0
"308",0.344,0,0,0,0,1,0
"309",0.77,0,0,0,1,0,0
"310",0.462,0,0,1,0,0,0
"311",0.614,0,0,0,0,1,0
"312",0.896,0,0,1,0,0,0
"313",0.698,0,0,0,0,1,0
"314",0.848,0,0,1,0,0,0
"315",0.276,0,0,0,0,1,0
"316",0.876,0,0,1,0,0,0
"317",0.806,0,0,0,0,1,0
"318",0.79,0,0,1,0,0,0
"319",0.47,0,0,0,0,1,0
"320",0.954,0,1,0,0,0,0
"321",0.242,0,0,0,0,1,0
"322",0.19,0,0,0,0,1,0
"323",0.402,0,1,0,0,0,0
"324",0.394,0,0,1,0,0,0
"325",0.43,0,0,0,0,1,0
"326",0.164,0,0,0,0,1,0
"327",0.436,0,0,0,0,1,0
"328",0.726,0,0,0,0,1,0
"329",0.79,0,1,0,0,0,0
"330",0.552,0,1,0,0,0,0
"331",0.576,0,0,1,0,0,0
"332",0.128,0,0,0,0,1,0
"333",0.598,0,0,0,0,1,0
"334",0.564,0,0,1,0,0,0
"335",0.56,0,0,0,0,1,0
"336",0.828,0,0,1,0,0,0
"337",0.968,0,0,0,1,0,0
"338",0.124,0,1,0,0,0,0
"339",0.496,0,0,0,0,1,0
"340",0.698,0,1,0,0,0,0
"341",0.374,0,0,0,0,1,0
"342",0.538,0,0,1,0,0,0
"343",0.486,0,0,0,0,1,0
"344",0.818,0,1,0,0,0,0
"345",0.488,0,0,0,0,1,0
"346",0.486,0,1,0,0,0,0
"347",0.57,0,0,1,0,0,0
"348",0.042,0,0,0,0,1,0
"349",0.454,0,0,1,0,0,0
"350",0.52,0,0,1,0,0,0
"351",0.482,0,0,0,0,1,0
"352",0.302,0,1,0,0,0,0
"353",0.73,0,0,0,0,1,0
"354",0.308,0,0,0,0,1,0
"355",0.982,0,0,0,0,1,0
"356",0.152,0,0,0,0,1,0
"357",0.586,0,1,0,0,0,0
"358",0.354,0,0,1,0,0,0
"359",0.828,0,0,1,0,0,0
"360",0.866,0,1,0,0,0,0
"361",0.596,0,0,0,0,1,0
"362",0.748,0,1,0,0,0,0
"363",0.264,0,0,1,0,0,0
"364",0.58,0,0,0,0,1,0
"365",0.572,0,1,0,0,0,0
"366",0.752,0,1,0,0,0,0
"367",0.712,0,0,1,0,0,0
"368",0.378,0,0,0,0,1,0
"369",0.672,0,0,0,0,1,0
"370",0.448,0,0,0,1,0,0
"371",0.0659999999999999,0,0,0,0,1,0
"372",0.598,0,0,1,0,0,0
"373",0.668,0,0,0,0,1,0
"374",0.494,0,0,0,0,1,0
"375",0.252,0,0,0,0,1,0
"376",0.31,0,0,0,0,1,0
"377",0.854,0,0,0,0,1,0
"378",0.196,0,0,0,0,1,0
"379",0.978,0,0,1,0,0,0
"380",0.164,0,1,0,0,0,0
"381",0.748,0,1,0,0,0,0
"382",0.238,0,0,1,0,0,0
"383",0.13,0,1,0,0,0,0
"384",0.766,0,0,0,0,1,0
"385",0.528,0,0,0,1,0,0
"386",0.882,0,0,0,0,1,0
"387",0.62,0,1,0,0,0,0
"388",0.154,0,0,0,0,1,0
"389",0.972,0,0,0,0,1,0
"390",0.3,0,0,1,0,0,0
"391",0.694,0,0,1,0,0,0
"392",0.42,0,0,0,0,1,0
"393",0.762,0,0,1,0,0,0
"394",0.096,0,0,0,0,1,0
"395",0.78,0,1,0,0,0,0
"396",0.02,0,0,1,0,0,1
"397",0.728,0,0,1,0,0,0
"398",0.616,0,0,0,0,1,0
"399",0.794,0,1,0,0,0,0
"400",0.856,0,0,0,1,0,0
