"","","","","","","","","bonf_res"
"69",0.484,0,1,0,0,0,0,0
"70",0.988,0,1,0,0,0,0,0
"71",0.868,0,1,0,0,0,0,0
"72",0.224,0,1,0,0,0,0,0
"73",0.48,0,1,0,0,0,0,0
"74",0.372,0,1,0,0,0,0,0
"75",0.752,0,1,0,0,0,0,0
"76",0.788,0,1,0,0,0,0,0
"77",0.372,0,1,0,0,0,0,0
"78",0.992,0,1,0,0,0,0,0
"79",0.048,1,0,0,0,0,0,1
"80",0.78,0,1,0,0,0,0,0
"81",0.504,1,0,0,0,0,0,0
"82",0.928,0,1,0,0,0,0,0
"83",0.536,1,0,0,0,0,0,0
"84",0.54,0,1,0,0,0,0,0
"85",0.776,0,1,0,0,0,0,0
"86",0.664,0,1,0,0,0,0,0
"87",0.192,0,1,0,0,0,0,0
"88",0.8,0,1,0,0,0,0,0
"89",0.668,0,1,0,0,0,0,0
"90",0.348,1,0,0,0,0,0,0
"91",0.236,1,0,0,0,0,0,0
"92",0.58,1,0,0,0,0,0,0
"93",0.772,0,1,0,0,0,0,0
"94",0.132,0,1,0,0,0,0,0
"95",0.00800000000000001,1,0,0,0,0,0,1
"96",0.328,0,1,0,0,0,0,0
"97",0.436,0,1,0,0,0,0,0
"98",0.704,0,1,0,0,0,0,0
"99",0.12,1,0,0,0,0,0,0
"100",0.092,0,1,0,0,0,0,0
"101",0.944,0,1,0,0,0,0,0
"102",0.58,0,1,0,0,0,0,0
"103",0.456,1,0,0,0,0,0,0
"104",0.652,0,1,0,0,0,0,0
"105",0.988,1,0,0,0,0,0,0
"106",0.452,0,1,0,0,0,0,0
"107",0.072,0,1,0,0,0,0,0
"108",0.484,0,1,0,0,0,0,0
"109",0.252,0,1,0,0,0,0,0
"110",0.284,1,0,0,0,0,0,0
"111",0.152,1,0,0,0,0,0,0
"112",0.224,0,1,0,0,0,0,0
"113",0.716,0,1,0,0,0,0,0
"114",0.216,1,0,0,0,0,0,0
"115",0.088,0,1,0,0,0,0,0
"116",0.2,1,0,0,0,0,0,0
"117",0.892,1,0,0,0,0,0,0
"118",0.72,1,0,0,0,0,0,0
"119",0.024,0,1,0,0,0,0,1
"120",0.36,0,1,0,0,0,0,0
"121",0.94,0,1,0,0,0,0,0
"122",0.508,0,1,0,0,0,0,0
"123",0.976,1,0,0,0,0,0,0
"124",0.228,1,0,0,0,0,0,0
"125",0.316,1,0,0,0,0,0,0
"126",0.604,0,1,0,0,0,0,0
"127",0.852,1,0,0,0,0,0,0
"128",0.188,0,1,0,0,0,0,1
"129",0.764,0,1,0,0,0,0,0
"130",0.196,0,1,0,0,0,0,0
"131",0.768,1,0,0,0,0,0,0
"132",0.776,0,1,0,0,0,0,0
"133",0.376,1,0,0,0,0,0,0
"134",0.916,1,0,0,0,0,0,0
"135",0.288,0,1,0,0,0,0,0
"136",0.896,0,1,0,0,0,0,0
"137",0.148,1,0,0,0,0,0,0
"138",0.664,1,0,0,0,0,0,0
"139",0.636,0,1,0,0,0,0,0
"140",0.172,0,1,0,0,0,0,0
"141",0.728,0,1,0,0,0,0,0
"142",0.392,0,1,0,0,0,0,0
"143",0.42,1,0,0,0,0,0,0
"144",0.944,0,1,0,0,0,0,0
"145",0.14,1,0,0,0,0,0,0
"146",0.368,1,0,0,0,0,0,0
"147",0.04,1,0,0,0,0,0,1
"148",0.808,0,1,0,0,0,0,0
"149",0.756,0,1,0,0,0,0,0
"150",0.452,0,1,0,0,0,0,0
"151",0.996,0,1,0,0,0,0,0
"152",0.868,1,0,0,0,0,0,0
"153",0.772,1,0,0,0,0,0,0
"154",0.676,1,0,0,0,0,0,0
"155",0.164,0,1,0,0,0,0,0
"156",0.472,0,1,0,0,0,0,0
"157",0.172,1,0,0,0,0,0,0
"158",0.452,0,1,0,0,0,0,0
"159",0.876,0,1,0,0,0,0,0
"160",0.296,1,0,0,0,0,0,0
"161",0.188,0,1,0,0,0,0,0
"162",0,0,1,0,0,0,0,1
"163",0.084,1,0,0,0,0,0,0
"164",0.4,0,1,0,0,0,0,0
"165",0.592,1,0,0,0,0,0,0
"166",0.572,1,0,0,0,0,0,0
"167",0.388,1,0,0,0,0,0,0
"168",0.944,1,0,0,0,0,0,0
"169",0.712,0,1,0,0,0,0,0
"170",0.788,0,1,0,0,0,0,0
"171",0.3,0,1,0,0,0,0,0
"172",0.8,1,0,0,0,0,0,0
"173",0.228,0,1,0,0,0,0,0
"174",0.612,0,1,0,0,0,0,0
"175",0.768,0,1,0,0,0,0,0
"176",0.724,0,1,0,0,0,0,0
"177",0.864,1,0,0,0,0,0,0
"178",0.612,0,1,0,0,0,0,0
"179",0.216,0,1,0,0,0,0,0
"180",0.252,0,1,0,0,0,0,0
"181",0.864,1,0,0,0,0,0,0
"182",0.56,0,0,1,0,0,0,0
"183",0.912,0,1,0,0,0,0,0
"184",0.716,1,0,0,0,0,0,0
"185",0.948,1,0,0,0,0,0,0
"186",0.384,1,0,0,0,0,0,0
"187",0.78,0,1,0,0,0,0,0
"188",0.756,0,1,0,0,0,0,0
"189",0.32,0,1,0,0,0,0,0
"190",0.948,1,0,0,0,0,0,0
"191",0.156,0,1,0,0,0,0,0
"192",0.472,0,1,0,0,0,0,0
"193",0.308,0,1,0,0,0,0,0
"194",0.624,1,0,0,0,0,0,0
"195",0.328,0,1,0,0,0,0,0
"196",0.556,1,0,0,0,0,0,0
"197",0.728,0,1,0,0,0,0,0
"198",0.764,0,1,0,0,0,0,0
"199",0.224,0,1,0,0,0,0,0
"200",0.664,0,1,0,0,0,0,0
"201",0.096,0,0,1,0,0,0,0
"202",0.572,0,1,0,0,0,0,0
"203",0.384,1,0,0,0,0,0,0
"204",0.716,0,1,0,0,0,0,0
"205",0.936,1,0,0,0,0,0,0
"206",0.132,0,1,0,0,0,0,0
"207",0.48,0,1,0,0,0,0,0
"208",0.944,0,1,0,0,0,0,0
"209",0.692,1,0,0,0,0,0,0
"210",0.424,0,1,0,0,0,0,0
"211",0.304,1,0,0,0,0,0,0
"212",0.3,1,0,0,0,0,0,0
"213",0.74,1,0,0,0,0,0,0
"214",0.1,0,1,0,0,0,0,0
"215",0.124,0,1,0,0,0,0,0
"216",0.42,1,0,0,0,0,0,0
"217",0.352,0,1,0,0,0,0,0
"218",0.108,1,0,0,0,0,0,0
"219",0.368,0,1,0,0,0,0,0
"220",0.42,0,1,0,0,0,0,0
"221",0.784,1,0,0,0,0,0,0
"222",0.464,1,0,0,0,0,0,0
"223",0.208,1,0,0,0,0,0,0
"224",0.536,0,0,1,0,0,0,0
"225",0.144,0,1,0,0,0,0,0
"226",0.488,0,1,0,0,0,0,0
"227",0.552,0,1,0,0,0,0,0
"228",0.508,0,1,0,0,0,0,0
"229",0.144,0,1,0,0,0,0,0
"230",0.944,1,0,0,0,0,0,0
"231",0.652,1,0,0,0,0,0,0
"232",0.332,0,1,0,0,0,0,0
"233",0.428,1,0,0,0,0,0,0
"234",0.028,0,1,0,0,0,0,1
"235",0.032,0,1,0,0,0,0,0
"236",0.452,0,1,0,0,0,0,0
"237",0.48,0,1,0,0,0,0,0
"238",0.784,0,1,0,0,0,0,0
"239",0.08,1,0,0,0,0,0,0
"240",0.76,0,1,0,0,0,0,0
"241",0.696,0,1,0,0,0,0,0
"242",0.776,0,1,0,0,0,0,0
"243",0.684,1,0,0,0,0,0,0
"244",0.768,1,0,0,0,0,0,0
"245",0.752,0,1,0,0,0,0,0
"246",0.00800000000000001,1,0,0,0,0,0,1
"247",0.308,1,0,0,0,0,0,0
"248",0.776,0,1,0,0,0,0,0
"249",0.952,0,1,0,0,0,0,0
"250",0.016,0,1,0,0,0,0,1
"251",0.468,1,0,0,0,0,0,0
"252",0.664,0,1,0,0,0,0,0
"253",0.532,0,1,0,0,0,0,0
"254",0.444,1,0,0,0,0,0,0
"255",1,0,1,0,0,0,0,0
"256",0.812,1,0,0,0,0,0,0
"257",0.8,0,1,0,0,0,0,0
"258",0.3,1,0,0,0,0,0,0
"259",0.348,0,1,0,0,0,0,0
"260",0.26,1,0,0,0,0,0,0
"261",0.604,0,1,0,0,0,0,0
"262",0.04,0,1,0,0,0,0,1
"263",0.424,1,0,0,0,0,0,0
"264",0.732,1,0,0,0,0,0,0
"265",0.0639999999999999,0,1,0,0,0,0,0
"266",0.3,0,1,0,0,0,0,0
"267",0.952,1,0,0,0,0,0,0
"268",0.148,1,0,0,0,0,0,0
"269",0.636,0,1,0,0,0,0,0
"270",0.124,1,0,0,0,0,0,0
"271",0.116,0,1,0,0,0,0,0
"272",0.984,0,1,0,0,0,0,0
"273",0.136,0,1,0,0,0,0,0
"274",0.288,1,0,0,0,0,0,0
"275",0.248,0,1,0,0,0,0,0
"276",0.452,0,1,0,0,0,0,0
"277",0.632,1,0,0,0,0,0,0
"278",0.348,0,1,0,0,0,0,0
"279",0.4,0,1,0,0,0,0,0
"280",0.708,0,1,0,0,0,0,0
"281",0.628,0,1,0,0,0,0,0
"282",0.14,0,1,0,0,0,0,0
"283",0.5,0,1,0,0,0,0,0
"284",0.188,0,1,0,0,0,0,0
"285",0.144,1,0,0,0,0,0,0
"286",0.696,0,1,0,0,0,0,0
"287",0.136,1,0,0,0,0,0,0
"288",0.92,0,1,0,0,0,0,0
"289",0.208,0,1,0,0,0,0,0
"290",0.356,0,1,0,0,0,0,0
"291",0.776,0,1,0,0,0,0,0
"292",0.48,1,0,0,0,0,0,0
"293",0.48,0,1,0,0,0,0,0
"294",0.436,0,1,0,0,0,0,0
"295",0.136,0,1,0,0,0,0,0
"296",0.692,1,0,0,0,0,0,0
"297",0.232,0,1,0,0,0,0,0
"298",0.16,0,1,0,0,0,0,0
"299",0.468,0,1,0,0,0,0,0
"300",0.252,1,0,0,0,0,0,0
"301",0.404,1,0,0,0,0,0,0
"302",0.78,0,1,0,0,0,0,0
"303",0.7,0,1,0,0,0,0,0
"304",0.676,0,1,0,0,0,0,0
"305",0.424,1,0,0,0,0,0,0
"306",0.436,1,0,0,0,0,0,0
"307",0.86,1,0,0,0,0,0,0
"308",0.884,0,1,0,0,0,0,0
"309",0.456,0,1,0,0,0,0,0
"310",0.572,0,1,0,0,0,0,0
