"","","","bonf_res"
"246",0.429,0.429,0
"247",0.396,0.396,0
"248",0.357,0.357,0
"249",0.026,0.026,1
"250",0.256,0.256,0
"251",0.357,0.357,0
"252",0.466,0.466,0
"253",0.262,0.262,0
"254",0.353,0.353,0
"255",0.22,0.22,0
"256",0.559,0.559,0
"257",0.751,0.751,0
"258",0.454,0.454,0
"259",0.142,0.142,0
"260",0.009,0.009,1
"261",0.619,0.619,0
"262",0.028,0.028,0
"263",0,0,1
"264",0.421,0.421,0
"265",0.23,0.23,0
"266",0.001,0.001,1
"267",0.884,0.884,0
"268",0.201,0.201,0
"269",0.026,0.026,0
"270",0.095,0.095,0
"271",0.017,0.017,1
"272",0.038,0.038,0
"273",0.033,0.033,0
"274",0.682,0.682,0
"275",0.087,0.087,0
"276",0.115,0.115,0
"277",0.026,0.026,1
"278",0.824,0.824,0
"279",0.34,0.34,0
"280",0.054,0.054,0
"281",0.287,0.287,0
"282",0.176,0.176,0
"283",0.441,0.441,0
"284",0.024,0.024,1
"285",0.177,0.177,0
"286",0.025,0.025,1
"287",0.251,0.251,0
"288",0.664,0.664,0
"289",0.579,0.579,0
"290",0.1,0.1,0
"291",0.107,0.107,0
"292",0.017,0.017,0
"293",0.211,0.211,0
"294",0.497,0.497,0
"295",0.721,0.721,0
"296",0.439,0.439,0
"297",0.519,0.519,0
"298",0.792,0.792,0
"299",0.5,0.5,0
"300",0.048,0.048,0
"301",0.196,0.196,0
"302",0.003,0.003,1
"303",0.005,0.005,1
"304",0.01,0.01,0
"305",0.239,0.239,0
"306",0.445,0.445,0
"307",0.275,0.275,0
"308",0.271,0.271,0
"309",0.009,0.009,1
"310",0.192,0.192,0
"311",0.425,0.425,0
"312",0.241,0.241,0
"313",0.024,0.024,1
"314",0.37,0.37,0
"315",0.62,0.62,0
"316",0.016,0.016,1
"317",0.543,0.543,0
"318",0.109,0.109,0
"319",0.338,0.338,0
"320",0.257,0.257,0
"321",0.255,0.255,0
"322",0.397,0.397,0
"323",0.002,0.002,1
"324",0.392,0.392,0
"325",0.239,0.239,0
"326",0.424,0.424,0
"327",0.708,0.708,0
"328",0.024,0.024,0
"329",0.582,0.582,0
"330",0.007,0.007,1
"331",0.366,0.366,0
"332",0.187,0.187,0
"333",0.095,0.095,0
"334",0.545,0.545,0
"335",0.033,0.033,1
"336",0.08,0.08,0
"337",0.187,0.187,0
"338",0.131,0.131,0
"339",0.228,0.228,0
"340",0.319,0.319,0
"341",0.405,0.405,0
"342",0.766,0.766,0
"343",0.293,0.293,0
"344",0.481,0.481,0
"345",0.258,0.258,0
"346",0.432,0.432,0
"347",0.167,0.167,0
"348",0.274,0.274,0
"349",0.143,0.143,0
"350",0.703,0.703,0
"351",0.203,0.203,0
"352",0.894,0.894,0
"353",0.401,0.401,0
"354",0.298,0.298,0
"355",0.392,0.392,0
"356",0.26,0.26,0
"357",0.34,0.34,0
"358",0.109,0.109,0
"359",0.73,0.73,0
"360",0.358,0.358,0
"361",0.552,0.552,0
"362",0.62,0.62,0
"363",0.393,0.393,0
"364",0.597,0.597,0
"365",0.267,0.267,0
"366",0.756,0.756,0
"367",0.016,0.016,1
"368",0.102,0.102,0
"369",0.144,0.144,0
"370",0.039,0.039,1
"371",0.133,0.133,0
"372",0.183,0.183,0
"373",0.043,0.043,0
"374",0.004,0.004,1
"375",0.358,0.358,0
"376",0.586,0.586,0
"377",0.128,0.128,0
"378",0.204,0.204,0
"379",0.119,0.119,0
"380",0.156,0.156,0
"381",0.127,0.127,0
"382",0.363,0.363,0
"383",0.484,0.484,0
"384",0.313,0.313,0
"385",0.622,0.622,0
"386",0.467,0.467,0
"387",0.639,0.639,0
"388",0.164,0.164,0
"389",0.428,0.428,0
"390",0.087,0.087,0
"391",0.323,0.323,0
"392",0.324,0.324,0
"393",0.035,0.035,0
"394",0.283,0.283,0
"395",0.008,0.008,1
"396",0.056,0.056,0
"397",0.109,0.109,0
"398",0.005,0.005,1
"399",0.685,0.685,0
"400",0.417,0.417,0
